ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE,
0,X,INVALID,305,2008,65,American Elm,21,4,84,"41.988135, -87.667095",
1421,W,Ardmore,305,2008,107,Silver Maple,34,3,102,Senn HS (west of alley),
1421,W,Ardmore,305,2008,86,Silver Maple,27,3,81,Senn HS (east of alley),
1411,W,Ardmore,305,2008,83,Silver Maple,26,3,78,,
1421,W,Ardmore,305,2008,82,Honey Locust,26,3,78,,
1429,W,Ardmore,305,2008,108,American Elm,34,4,136,,
1321,W,Ardmore,305,3003,60,American Linden,19,3,57,,
1319,W,Ardmore,305,3003,96,Silver Maple,31,3,93,,
1309,W,Ardmore,305,3002,66,Silver Maple,21,3,63,,
1263,W,Ardmore,305,3001,69,White Ash,22,5,110,,
1249,W,Ardmore,305,3001,80,Silver Maple,25,3,75,Subtracted 12 to compensate for dbl trunk.,
1254,W,Ardmore,305,1012,88,Northern Catalpa,28,2,56,,
1258,W,Ardmore,305,1012,97,Silver Maple,31,3,93,,
1264,W,Ardmore,305,1012,106,Silver Maple,34,3,102,,
1276,W,Ardmore,305,1012,87,White Ash,28,5,140,,
1280,W,Ardmore,305,1012,84,Silver Maple,27,3,81,,
1300,W,Ardmore,305,1012,108,Silver Maple,34,3,102,,
1308,W,Ardmore,305,1012,140,Silver Maple,45,3,135,multi trunk,
5734,N,Broadway,305,3011,54,White Ash,17,5,85,,
5820,N,Broadway,305,1008,53,Sugar Maple,17,5.5,94,audit to come,
5850,N,Broadway,305,1008,47,Sugar Maple,15,5.5,83,audit to come,
0,W,INVALID,305,1008,52,White ash,17,5.5,94,"41.984238, -87.660238",
1301,W,Early,305,3004,78,Honey Locust,25,3,75,,
1305,W,Early,305,3004,125,Silver Maple,40,3,120,,
1309,W,Early,305,3004,62,Honey Locust,20,3,60,,
1312,W,Early,305,3002,45,White Ash,14,5,70,,
1314,W,Early,305,3002,74,White Ash,24,5,120,,
1313,W,Early,305,3004,92,Silver Maple,29,3,87,,
1317,W,Early,305,3004,80,Silver Maple,25,3,75,east parkway tree,
1317,W,Early,305,3004,78,Silver Maple,25,3,75,west parkway tree,
1325,W,Early,305,3004,97,Silver Maple,31,3,93,east parkway tree,
1325,W,Early,305,3004,67,Silver Maple,21,3,63,west parkway tree,
1327,W,Early,305,3004,80,Honey Locust,25,3,75,,
1334,W,Early,305,3003,69,Norway Maple,22,4.5,99,,
1335,W,Early,305,3004,67,Norway Maple,21,4.5,95,,
1341,W,Early,305,3004,90,Silver Maple,29,3,87,,
1342,W,Early,305,3003,82,Honey Locust,26,3,78,,
1345,W,Early,305,3004,109,Silver Maple,35,3,105,,
1350,W,Early,305,3003,88,Silver Maple,28,3,84,east parkway tree,
1350,W,Early,305,3003,96,Silver Maple,31,3,93,west parkway tree,
1290,W,Early,305,3009,77,White Ash,25,5,125,,
1288,W,Early,305,3009,70,Honey Locust,22,3,66,,
1281,W,Early,305,3008,72,Silver Maple,23,3,69,,
1279,W,Early,305,3008,84,Silver Maple,27,3,81,,
1276,W,Early,305,3009,118,Silver Maple,38,3,114,,
1275,W,Early,305,3008,90,Silver Maple,29,3,87,,
1272,W,Early,305,3009,82,Silver Maple,26,3,78,,
1264,W,Early,305,3009,92,Honey Locust,29,3,87,,
1269,W,Early,305,3008,86,Honey Locust,27,3,81,,
1261,W,Early,305,3008,86,Honey Locust,27,3,81,,
1258,W,Early,305,3009,94,Linden,30,3,90,,
1256,W,Early,305,3009,81,Silver Maple,26,3,78,,
1252,W,Early,305,3009,75,Honey Locust,24,3,72,,
1248,W,Early,305,3009,117,SIlver Maple,37,3,111,,
1245,W,Early,305,3008,88,Silver Maple,28,3,84,,
1239,W,Early,305,3008,69,Honey Locust,22,3,66,,
1214,W,Early,305,3010,70,Honey Locust,22,3,66,,
1214,W,Early,305,3010,56,White Ash,18,5,90,,
5825,N,Glenwood,305,3004,75,Northern Catalpa,24,2,48,,
5814,N,Glenwood,305,2008,90,Honey Locust,29,3,87,,
5830,N,Glenwood,305,2008,92,Honey Locust,29,3,87,,
5840,N,Glenwood,305,2008,67,American Elm,21,4,84,,
0,W,INVALID,,,46,White oak,15,5,75,NW corner Hollywood & Ridge,Hollywood (Gateway Garden)
0,W,INVALID,,,69,White oak,22,5,110,next to dying oak,Hollywood (Gateway Garden)
0,W,INVALID,,,70,White oak,22,5,110,dying tree behind welcome sign,Hollywood (Gateway Garden)
0,W,INVALID,,,44,Field maple,14,4,56,next tree east,Hollywood (Gateway Garden)
5843,N,Magnolia,305,1009,112,Tree of Hen,36,2,72,,
5835,N,Magnolia,305,1009,102,Silver Maple,32,3,96,,
5827,N,Magnolia,305,1009,55,Norway Maple,18,4.5,81,,
5823,N,Magnolia,305,1009,48,Norway Maple,15,4.5,68,,
5815,N,Magnolia,305,1009,93,Silver Maple,30,3,90,,
5811,N,Magnolia,305,1009,46,Norway Maple,15,4.5,68,,
5805,N,Magnolia,305,,113,Silver Maple,36,3,108,,
5735,N,Magnolia,305,,99,Silver Maple,32,3,96,west sidewalk adjacent to 1223 Victoria,
5729,N,Magnolia,305,,80,Silver Maple,25,3,75,,
5713,N,Magnolia,305,,76,Silver Maple,24,3,72,,
5709,N,Magnolia,305,,75,Silver Maple,24,3,72,,
5705,N,Magnolia,305,,83,Silver Maple,26,3,78,,
5649,N,Magnolia,305,,49,Norway Maple,16,4.5,72,,
5643,N,Magnolia,305,,43,White Ash,14,5,70,,
5830,N,Magnolia,305,,85,Honey Locust,27,3,81,,
5862,N,Magnolia,305,,57,Norway Maple,18,4,72,,
5824,N,Magnolia,305,,56,Norway Maple,18,4,72,,
5820,N,Magnolia,305,,59,Norway Maple,19,4,76,,
