ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
5400,N,Wayne,308,2006,93,Honey Locust,29.6,3,89,NE corner parkway
5400,N,Wayne,308,2006,98,Honey Locust,31.2,3,94,N parkway
1354,W,Balmoral,308,2007,84,American Elm?,26.7,4,107,Mid Parkway
1354,W,Balmoral,308,,74,Honey Locust,23.6,3,71,NW side
1354,W,Balmoral,308,,73,Sliver maple,23.2,3,70,Corner
1408,W,Balmoral,308,,88,Sliver maple,28,3,84,West End
1420,W,Balmoral,308,,104,Sliver maple,33.1,3,99,
1428,W,Balmoral,308,,86,Honey Locust,27.4,4.5,119,
1436,W,Balmoral,308,,80,Sliver maple,25.5,3,82,
1438,W,Balmoral,308,,60,GR or White Ash,19.1,5,95,Tree tagged Twice
1448,W,Balmoral,308,,67,Norway Maple,21.3,4.5,107,
1460,W,Balmoral,308,2014,59,Norway Maple,18.8,4.5,84,
1472,W,Balmoral,308,,66,Honey Locust,21,3,63,By Lescas garden
1341,W,Balmoral,308,,65,Silver maple,21,3,62,
1351,W,Balmoral,308,,64,Silver maple,20,3,61,
1355,W,Balmoral,308,,71,Silver maple,22,3,68,West Emd
1401,W,Balmoral,308,,53,Ash,17,5,84,
1415,W,Balmoral,308,3008,94,Sliver maple,30,3,90,
1419,W,Balmoral,308,,64,Sliver maple,20,3,61,
1421,W,Balmoral,308,,67,Honey Locust,21,3,64,
1431,W,Balmoral,308,,66,Norway Maple?,21,4.5,94,
1459,W,Balmoral,308,,56,Norway Maple?,18,4.5,80,
1469,W,Balmoral,308,3009,60,Honey Locust,18,3,57,
5527,N,Glenwood,308,,103,Honey Locust,33,3,99,
5521,N,Glenwood,308,,41,Norway Maple,13,4.5,59,
5519,N,Glenwood,308,,60,Norway Maple,19,4.5,86,
5517,N,Glenwood,308,,48,Honey Locust,15,3,45,
5511,N,Glenwood,308,,70,American Elm,22,4,88,
5505,N,Glenwood,308,1007,86,Green Ash,27,4,108,
5506,N,Glenwood,308,,89,Silver maple,28,3,84,
5508,N,Glenwood,308,,100,American Elm,32,4,128,
5512,N,Glenwood,308,,53,American Elm,17,4,68,
5514,N,Glenwood,308,,114,Silver maple,36,3,108,
5518,N,Glenwood,308,,50,Honey Locust,16,3,48,
5520,N,Glenwood,308,,44,Red Maple,14,4.5,63,
