ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
5200,N,Winthrop,307,1003,81,Honey Locust,25.8,3,77,
5206,N,Winthrop,307,,85,Honey Locust,27.1,3,81,
5206,N,Winthrop,307,,111,Honey Locust,35.4,3,106,
5207,N,Winthrop,307,1004,63,Silver Maple,20.1,3,60,
5217,N,Winthrop,307,,93,Honey Locust,29.6,3,89,
5223,N,Winthrop,307,,80,Honey Locust,25.5,3,77,
5224,N,Winthrop,307,,64,Honey Locust,20.4,3,61,
5227,N,Winthrop,307,,81,Honey Locust,25.8,3,77,
5228,N,Winthrop,307,1003,75,Honey Locust,23.9,3,72,
5235,N,Winthrop,307,,69,Honey Locust,22.0,3,66,
5235,N,Winthrop,307,,66,Honey Locust,21.0,3,63,
5240,N,Winthrop,307,,80,Honey Locust,25.5,3,77,
5248,N,Winthrop,307,,90,Honey Locust,28.7,3,86,
5309,N,Winthrop,307,,67,Honey Locust,21.3,3,64,
5321,N,Winthrop,307,,89,Honey Locust,28.3,3,85,
5330,N,Winthrop,307,,85,Honey Locust,27.1,3,81,
5327,N,Winthrop,307,,97,Honey Locust,30.9,3,93,
5331,N,Winthrop,307,,72,Honey Locust,22.9,3,69,
5339,N,Winthrop,307,,60,Honey Locust,19.1,3,57,
5346,N,Winthrop,307,,97,Honey Locust,30.9,3,93,
5346,N,Winthrop,307,,75,Honey Locust,23.9,3,72,
5349,N,Winthrop,307,,63,Honey Locust,20.1,3,60,
5352,N,Winthrop,307,,90,Honey Locust,28.7,3,86,
5404,N,Winthrop,307,,85,Honey Locust,27.1,3,81,
5411,N,Winthrop,307,,69,Honey Locust,22.0,3,66,
5411,N,Winthrop,307,,69,Honey Locust,22.0,3,66,
5422,N,Winthrop,307,,96,Honey Locust,30.6,3,92,
5423,N,Winthrop,307,,69,Honey Locust,22.0,3,66,
5428,N,Winthrop,307,,104,Siberian Elm,33.1,2,66,
5428,N,Winthrop,307,,63,MISSING,20.1,4,80,
5443,N,Winthrop,307,,82,American Elm,26.1,4,104,
5444,N,Winthrop,307,,74,Honey Locust,23.6,3,71,
5449,N,Winthrop,307,,72,Honey Locust,22.9,3,69,
5515,N,Winthrop,307,,61,Honey Locust,19.4,3,58,
5515,N,Winthrop,307,,82,American Elm,26.1,4,104,
5515,N,Winthrop,307,,69,American Elm,22.0,4,88,
5517,N,Winthrop,307,,69,American Elm,22.0,4,88,
5517,N,Winthrop,307,,82,American Elm,26.1,4,104,
5539,N,Winthrop,307,,83,Honey Locust,26.4,3,79,
5620,N,Winthrop,307,,97,Hackenberry,30.9,2,62,
5624,N,Winthrop,307,,80,Hackenberry,25.5,2,51,
5626,N,Winthrop,307,,73,Hackenberry,23.2,2,46,
5630,N,Winthrop,307,,74,Hackenberry,23.6,2,47,
5636,N,Winthrop,307,,67,Hackenberry,21.3,2,43,
5638,N,Winthrop,307,,72,Hackenberry,22.9,2,46,
5644,N,Winthrop,307,,80,Hackenberry,25.5,2,51,
5648,N,Winthrop,307,,64,Hackenberry,20.4,2,41,
5648,N,Winthrop,307,,65,Hackenberry,20.7,2,41,
5650,N,Winthrop,307,,80,Hackenberry,25.5,2,51,
5653,N,Winthrop,307,,88,Hackenberry,28.0,2,56,
5653,N,Winthrop,307,,85,Hackenberry,27.1,2,54,
5653,N,Winthrop,307,,97,Hackenberry,30.9,2,62,
5653,N,Winthrop,307,,86,Hackenberry,27.4,2,55,
1013,W,Balmoral,307,,90,Honey Locust,28.7,3,86,
1014,W,Balmoral,307,,64,Honey Locust,20.4,3,61,
1014,W,Balmoral,307,,62,Honey Locust,19.7,3,59,
1016,W,Balmoral,307,,72,Honey Locust,22.9,3,69,
1016,W,Balmoral,307,,70,Honey Locust,22.3,3,67,
1019,W,Balmoral,307,,76,Honey Locust,24.2,3,73,
1023,W,Balmoral,307,,75,Honey Locust,23.9,3,72,
1029,W,Balmoral,307,,72,Honey Locust,22.9,3,69,
1057,W,Balmoral,307,,67,Honey Locust,21.3,3,64,
1059,W,Balmoral,307,,70,Honey Locust,22.3,3,67,
1106,W,Balmoral,307,,74,American Elm,23.6,4,94,
1014,W,Berwyn,307,,69,Honey Locust,22.0,3,66,
1016,W,Berwyn,307,,83,Honey Locust,26.4,3,79,
1017,W,Berwyn,307,,62,Norway Maple,19.7,4.5,89,
1023,W,Berwyn,307,,98,Honey Locust,31.2,3,94,
1038,W,Berwyn,307,,70,Silver Maple,22.3,3,67,
1044,W,Berwyn,307,,93,Honey Locust,29.6,3,89,
1044,W,Berwyn,307,,100,Honey Locust,31.8,3,95,
1050,W,Berwyn,307,,88,Honey Locust,28.0,3,84,
1056,W,Berwyn,307,,85,Honey Locust,27.1,3,81,
1057,W,Berwyn,307,,66,Honey Locust,21.0,3,63,
5200,N,Kenmore,307,,71,Honey Locust,22.6,3,68,
