ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
0,W,Highland,,,88,Amer Elm,28,4,112,SW Corner of Glenwood
0,W,Highland,,,65,Amer elm,20.7,4,83,SW Corner of Glenwood
1414,W,Highland,,,75,Amer Syc,23.9,4,96,
1422,W,Highland,,,113,Silver Maple,36,3,108,
1428,W,Highland,,,69,Silver Maple,22,3,66,
1432,W,Highland,,,81,Silver Maple,25.8,3,77,
1438,W,Highland,,,113,Silver Maple,36,3,108,
1442,W,Highland,,,62,Nor Maple,19.7,4.5,89,
1448,W,Highland,,,64,Nor Maple,20.4,4.5,92,
1456,W,Highland,,,94,Amer Syc,29.9,4,120,
1458,W,Highland,,,58,Nor Maple,18.5,4.5,83,
1500,W,Highland,,,71,Honey Locust,22.6,3,68,
1502,W,Highland,,,76,Silv Maple,24.2,3,73,
1508,W,Highland,,,80,Nor Maple,25.5,4.5,115,
1510,W,Highland,,,69,Amer Syc,22,4,88,
1512,W,Highland,,,55,Silv Maple,17.5,3,53,
1516,W,Highland,,,65,Silv Maple,20.7,3,62,
1520,W,Highland,,,96,Silv Maple,30.6,3,92,
1526,W,Highland,,,78,Amer Syc,24.8,4,99,
1401,W,Highland,,,61,Nor Maple,19.4,4.5,87,
1421,W,Highland,,,93,Amer Syc,29.6,4,118,
1425,W,Highland,,,57,Nor Maple,18.2,4.5,82,
1427,W,Highland,,,80,Hon Locust,25.5,3,76,
1437,W,Highland,,,70,Nor Maple,22.3,4.5,100,
1443,W,Highland,,,75,Silv Maple,23.9,3,72,
1447,W,Highland,,,54,Nor Maple,17.2,4.5,77,
1449,W,Highland,,,63,Nor Maple,20.1,4.5,90,
0,W,Highland,,,60,Nor Maple,19.1,4.5,86,SE Corner Highland & Greenview
1501,W,Highland,,,57,Hon Locust,18.2,3,54,
1519,W,Highland,,,74,Silv Maple,23.6,3,71,
1531,W,Highland,,,58,Silv Maple,18.5,3,55,
1533,W,Highland,,,54,Silv Maple,17.2,3,52,
1535,W,Highland,,,65,Silv Maple,20.7,3,62,
1539,W,Highland,,,107,Silv Maple,34.1,3,102,
1547,W,Highland,,,101,Silv Maple,32.2,3,96,
1532,W,Highland,,,62,Silv Maple,19.7,3,59,
1536,W,Highland,,,75,Silv Maple,23.9,3,72,
1540,W,Highland,,,72,Amer Syc,22.9,4,92,
1542,W,Highland,,,81,Silv Maple,25.8,3,77,
1550,W,Highland,,,80,Silv Maple,25.5,3,76,
0,W,Rosemont,,,81,Basswood,25.8,3,77,NW Corner @Broadway
1248,W,Rosemont,,,77,Amer Syc,24.5,4,98,
1302,W,Rosemont,,,65,Sib Elm,20.7,2,41,
1306,W,Rosemont,,,78,Amer Elm,24.8,4,99,
1308,W,Rosemont,,,89,Amer Elm,28.3,4,113,
1316,W,Rosemont,,,73,Amer Syc,23.2,4,93,
1320,W,???,,,67,Honey Locust,21.3,3,64,NE CORNER
1322,W,???,,,62,Amer Syc,19.7,4,79,NW CORNER
1324,W,Rosemont,,,67,Amer Syc,21.3,4,85,
1326,W,Rosemont,,,78,Amer Syc,24.8,4,99,
1400,W,Rosemont,,,75,Amer Syc,23.9,4,96,
1408,W,Rosemont,,,80,Silv Maple,25.5,3,76,
1416,W,Rosemont,,,79,Sib Elm,25.2,2,50,
1424,W,Rosemont,,,98,Amer Elm,31.2,4,125,
1426,W,Rosemont,,,54,Lit Linden,17.2,3,52,
1434,W,Rosemont,,,83,Silv Maple,26.4,3,79,
1436,W,Rosemont,,,66,Nor Maple,21,4.5,95,
1438,W,Rosemont,,,67,Amer Syc,21.3,4,85,
1440,W,Rosemont,,,97,Amer Syc,30.9,4,124,
1454,W,Rosemont,,,107,Amer Syc,34.1,4,136,
1500,W,Rosemont,,,72,Nor Maple,22.9,4.5,103,
1502,W,Rosemont,,,63,Nor Maple,20.1,4.5,90,
1506,W,Rosemont,,,91,Amer Syc,29,4,116,
1510,W,Rosemont,,,82,Amer Syc,26.1,4,104,
1520,W,Rosemont,,,86,Silv Maple,27.4,3,82,
1534,W,Rosemont,,,57,Nor Maple,18.2,4.5,82,
1536,W,Rosemont,,,69,Nor Maple,22,4.5,99,
1555,W,Rosemont,,,104,Amer Elm,33.1,4,132,
1531,W,Rosemont,,,82,Silv Maple,26.1,3,78,
1517,W,Rosemont,,,64,Nor Maple,20.4,4.5,92,
1501,W,Rosemont,,,102,Amer Syc,32.5,4,130,
1457,W,Rosemont,,,95,Amer Elm,30.3,4,121,
1453,W,Rosemont,,,104,Silv Maple,33.1,3,99,
1443,W,Rosemont,,,67,Silv Maple,21.3,3,64,
1441,W,Rosemont,,,91,Silv Maple,29,3,87,
1431,W,Rosemont,,,68,Hon Locust,21.7,3,65,
1427,W,Rosemont,,,76,Silv Maple,24.2,3,73,
1421,W,Rosemont,,,72,Silv Maple,22.9,3,69,
1417,W,Rosemont,,,87,Silv Maple,27.7,3,83,
0,W,Rosemont,,,82,Nor Maple,26.1,4.5,118,SW Corner @ Wayne
1401,W,Rosemont,,,57,Honey Locust,18.2,3,54,
1311,W,Rosemont,,,127,Silv Maple,40.4,3,121,
0,W,Rosemont,,,79,Silv Maple,25.2,3,75,1245? SE@Lakewood
1243,W,Rosemont,,,77,Silv Maple,24.5,3,74,
1241,W,Rosemont,,,85,Silv Maple,27.1,3,81,
1414,W,Thome,,,70,Sug Maple,22.3,5.5,123,
1420,W,Thome,,,61,Amer Syc,19.4,4,78,
1424,W,Thome,,,66,Nor Maple,21,4.5,95,
