ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
1244,W,BRYN MAWR,,,72,green ash,22.9,5,115,
1260,W,BRYN MAWR,,,59,norway maple,18.8,4.5,85,
1300,W,BRYN MAWR,,,143,white mulberry,45.5,2.3,105,
1302,W,BRYN MAWR,,,77,american bassweed,24.5,,0,
1304,W,BRYN MAWR,,,68,catalpa,21.7,2,43,
1310,W,BRYN MAWR,,,114,siver maple,36.3,3,109,
1332,W,BRYN MAWR,,,67,sycamore,21.3,4,85,
,W,BRYN MAWR,,,83,siberian elm,26.4,2,53,
1354,W,BRYN MAWR,,,75,silver maple,23.9,3,72,
1412,W,BRYN MAWR,,,129,silver maple,41.1,3,123,
1416,W,BRYN MAWR,,,65,silver maple,20.7,3,62,
1420,W,BRYN MAWR,,,67,honey locust,21.3,3,64,
1422,W,BRYN MAWR,,,88,honey locust,28.0,3,84,
1434,W,BRYN MAWR,,,79,hackberry,25.2,,0,
1446,W,BRYN MAWR,,,66,siberian elm,21.0,2,42,
1448,W,BRYN MAWR,,,87,honey locust,27.7,3,83,
1454,W,BRYN MAWR,,,64,honey locust,20.4,3,61,
1458,W,BRYN MAWR,,,70,honey locust,22.3,3,67,
1502,W,BRYN MAWR,,,85,honey locust,27.1,3,81,
1506,W,BRYN MAWR,,,69,,22.0,2,44,
1416,W,OLIVE,,,83,honey locust,26.4,3,79,
1416,W,OLIVE,,,58,norway maple,18.5,4.5,83,
1440,W,OLIVE,,,55,norway maple,17.5,4.5,79,
1448,W,OLIVE,,,59,norway maple,18.8,4.5,85,
1450,W,OLIVE,,,58,norway maple,18.5,4.5,83,
1464,W,OLIVE,,,57,norway maple,18.2,4.5,82,
1504,W,OLIVE,,,89,silver maple,28.3,3,85,
1512,W,OLIVE,,,59,silver maple,18.8,3,56,
1520,W,OLIVE,,,58,green ash,18.5,5,93,
1519,W,OLIVE,,,78,silver maple,24.8,3,74,
1505,W,OLIVE,,,61,norway maple,19.4,4.5,87,
1461,W,OLIVE,,,61,norway maple,19.4,4.5,87,
1453,W,OLIVE,,,83,honey locust,26.4,3,79,
1447,W,OLIVE,,,61,norway maple,19.4,4.5,87,
1419,W,OLIVE,,,76,honey locust,24.2,3,73,
1415,W,OLIVE,,,53,norway maple,16.9,4.5,76,
1437,W,HOLLYWOOD,,,91,honey locust,29.0,3,87,
1431,W,HOLLYWOOD,,,64,honey locust,20.4,3,61,
1429,W,HOLLYWOOD,,,91,silver maple,29.0,3,87,
1425,W,HOLLYWOOD,,,96,silver maple,30.6,3,92,
1423,W,HOLLYWOOD,,,90,siberian elm,28.7,2,57,
1419,W,HOLLYWOOD,,,67,honey locust,21.3,3,64,
1411,W,HOLLYWOOD,,,71,honey locust,22.6,3,68,
1407,W,HOLLYWOOD,,,82,silver maple,26.1,3,78,
1401,W,HOLLYWOOD,,,60,oak,19.1,2,38,
1343,W,HOLLYWOOD,,,75,honey locust,23.9,3,72,
1341,W,HOLLYWOOD,,,82,honey locust,26.1,3,78,
1331,W,HOLLYWOOD,,,97,silver maple,30.9,3,93,
1321,W,HOLLYWOOD,,,49,green ash,15.6,5,78,
1315,W,HOLLYWOOD,,,75,siberian elm,23.9,2,48,
1316,W,HOLLYWOOD,,,105,silver maple,33.4,3,100,
1318,W,HOLLYWOOD,,,94,silver maple,29.9,3,90,
1320,W,HOLLYWOOD,,,76,silver maple,24.2,3,73,
1330,W,HOLLYWOOD,,,58,unidentifiable,18.5,,0,
1338,W,HOLLYWOOD,,,65,green ash,20.7,5,104,
1340,W,HOLLYWOOD,,,59,green ash,18.8,5,94,
1404,W,HOLLYWOOD,,,90,silver maple,28.7,3,86,
1420,W,HOLLYWOOD,,,82,honey locust,26.1,3,78,
1436,W,HOLLYWOOD,,,63,honey locust,20.1,3,60,
1438,W,HOLLYWOOD,,,75,honey locust,23.9,3,72,
1438,W,HOLLYWOOD,,,103,honey locust,32.8,3,98,
1444,W,HOLLYWOOD,,,75,honey locust,23.9,3,72,
1448,W,HOLLYWOOD,,,77,honey locust,24.5,3,74,
1454,W,HOLLYWOOD,,,80,honey locust,25.5,3,77,
1458,W,HOLLYWOOD,,,59,american bassweed,18.8,,0,
1500,W,HOLLYWOOD,,,72,honey locust,22.9,3,69,
1506,W,HOLLYWOOD,,,60,silver maple,19.1,3,57,
1512,W,HOLLYWOOD,,,99,honey locust,31.5,3,95,
1520,W,HOLLYWOOD,,,95,honey locust,30.3,3,91,
