ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE,
1318,W,CATALPA,,,62,Norway Maple,20,4.5,89,W of Alley,
1318,W,CATALPA,,,59.5,Norway Maple,19,4.5,85,NE corner,
5507,N,WAYNE,,,109.5,American Elm,35,4,139,,
5515,N,WAYNE,,,87.5,Honey Locust,28,3,84,,
5517,N,WAYNE,,,100,Honey Locust,32,3,96,,
5521,N,WAYNE,,,107,Honey Locust,34,3,102,,
5527,N,WAYNE,,,81,Honey Locust,26,3,77,,
5531,N,WAYNE,,,91,Honey Locust,29,3,87,,
5539,N,WAYNE,,,87,Honey Locust,28,3,83,,
5539,N,WAYNE,,,72,Honey Locust,23,3,69,,
5545,N,WAYNE,,,94,Honey Locust,30,3,90,,
5553,N,WAYNE,,,86,Honey Locust,27,3,82,,
5557,N,WAYNE,,,95,Honey Locust,30,3,91,,
5556,N,WAYNE,,,89.5,Honey Locust,29,3,86,,
5534,N,WAYNE,,,57,Silver Maple,18,3,54,,
5530,N,WAYNE,,,92.5,Honey Locust,29,3,88,,
5526,N,WAYNE,,,99.5,Honey Locust,32,3,95,,
5518,N,WAYNE,,,68,Norway Maple,22,4.5,97,,
5510,N,WAYNE,,,95,Norway Maple,30,4.5,136,,
0,,,,,67,Norway Maple,21,4.5,96,Catalpa W of Wayne,
0,,,,,72.5,Honey Locust,23,3,69,east of alley;Catalpa near Glenwood,
5507,N,LAKEWOOD,,,63,Honey Locust,20,3,60,,
5511,N,LAKEWOOD,,,95,Silver Maple,30,3,91,,
5521,N,LAKEWOOD,,,98,Silver Maple,31,3,94,,
5525,N,LAKEWOOD,,,101,Silver Maple,32,3,96,,
5535,N,LAKEWOOD,,,74,Honey Locust,24,3,71,,
5539,N,LAKEWOOD,,,84,Silver Maple,27,3,80,,
5539,N,LAKEWOOD,,,73,Silver Maple,23,3,70,,
5543,N,LAKEWOOD,,,76,Silver Maple,24,3,73,,
5553,N,LAKEWOOD,,,74,Silver Maple,24,3,71,,
5559,N,LAKEWOOD,,,68,Silver Maple,22,3,65,,
0,,,,,51,Honey Locust,16,3,49,corner; Lakewood/Balmoral,
1255,W,BRYN MAWR,,,70,Honey Locust,22,3,67,,
1253,W,BRYN MAWR,,,86,Silver Maple,27,3,82,,
5560,N,LAKEWOOD,,,54,Honey Locust,17,3,52,,
5548,N,LAKEWOOD,,,63,Norway Maple,20,4.5,90,,
5542,N,LAKEWOOD,,,91,Silver Maple,29,3,87,,
5538,N,LAKEWOOD,,,93,Silver Maple,30,3,89,,
5538,N,LAKEWOOD,,,77,Horse Chestnut,25,8,196,in front yard,
5536,N,LAKEWOOD,,,84,Honey Locust,27,3,80,,
5526,N,LAKEWOOD,,,67,Silver Maple,21,3,64,,
5526,N,LAKEWOOD,,,109,Honey Locust,35,3,104,,
5518,N,LAKEWOOD,,,69,Honey Locust,22,3,66,,
5516,N,LAKEWOOD,,,60,Norway Maple,19,4.5,86,,
5510,N,LAKEWOOD,,,63,Norway Maple,20,4.5,90,,
5507,N,LAKEWOOD,,,60,Honey Locust,19,3,57,,
0,,,,,81,Honey Locust,26,3,77,on corner; Catalpa/Lakewood,
1255,W,CATALPA,,,59,Honey Locust,19,3,56,,
1252,W,CATALPA,,,125,Silver Maple,40,3,119,,
1248,W,CATALPA,,,55,Norway Maple,18,4.5,79,,
5542,N,LAKEWOOD,,,94,Large Leaf Linden,30,3,90,back yard,?? Not sure of the growth factor
5526,N,MAGNOLIA,,,95,Silver Maple,30,3,91,North end of convent bldg,
5538,N,MAGNOLIA,,,68,Silver Maple,22,3,65,,
5540,N,MAGNOLIA,,,73,Silver Maple,23,3,70,,
5544,N,MAGNOLIA,,,112,American Sycamore,36,4,143,,
0,,,,,67,Honey Locust,21,3,64,"outside park, west",Cochran Park
0,,,,,69,Honey Locust,22,3,66,"outside park, west",Cochran Park
0,,,,,60,Little Leaf Linden,19,3,57,in park,Cochran Park
0,,,,,67,Honey Locust,21,3,64,in park,Cochran Park; diseased
0,,,,,58,Honey Locust,18,3,55,in park,Cochran Park
0,,,,,57,Honey Locust,18,3,54,in park,Cochran Park
1238,W,BRYN MAWR,,,63,Honey Locust,20,3,60,,
1238,W,BRYN MAWR,,,63,Honey Locust,20,3,60,,
1232,W,BRYN MAWR,,,57,Honey Locust,18,3,54,,
5553,N,MAGNOLIA,,,79,Honey Locust,25,3,75,,
5541,N,MAGNOLIA,,,79,American Sycamore,25,4,101,,
5537,N,MAGNOLIA,,,78,Honey Locust,25,3,75,,
0,,,,,80,Silver Maple,25,3,76,St. Ita School; north end,
0,,,,,76,Silver Maple,24,3,73,St. Ita School,
0,,,,,75,Honey Locust,24,3,72,St. Ita School,
0,,,,,68,Honey Locust,22,3,65,St. Ita School,
0,,,,,68,American Sycamore,22,4,87,St. Ita School,
1220,W,CATALPA,,,91,Honey Locust,29,3,87,south end,
5502,N,MAGNOLIA,,,73,Honey Locust,23,3,70,on Catalpa side/corner,
0,,,,,65,Honey Locust,21,3,62,b/w Magnolia & Alley; Catalpa,
0,,,,,78,Honey Locust,25,3,75,on corner of alley; Catalpa and W Alley,
5502,N,MAGNOLIA,,,81,Silver Maple,26,3,77,,
5506,N,MAGNOLIA,,,81,Honey Locust,26,3,77,,
5510,N,MAGNOLIA,,,87,Honey Locust,28,3,83,,
5516,N,MAGNOLIA,,,80,Honey Locust,25,3,76,,
5516,N,MAGNOLIA,,,78,Honey Locust,25,3,75,,
5526,N,MAGNOLIA,,,90,Silver Maple,29,3,86,south end of convent bldg,
5457,N,WAYNE,,,93,Honey Locust,30,3,89,N side of house closest to alley,
5457,N,WAYNE,,,57,Honey Locust,18,3,54,N side of house middle,
0,,,,,79,Honey Locust,25,3,75,near corner of Catalpa/Wayne,
5455,N,WAYNE,,,87,Northern Catalpa,28,2,55,,
0,,,,,62,Honey Locust,20,3,59,5449/5553 Wayne,
5443,N,WAYNE,,,36.5,Ginkgo,12,,0,,do not know growth factor
5437,N,WAYNE,,,57,Norway Maple,18,4.5,82,,
5437,N,WAYNE,,,109.5,Honey Locust,35,3,105,,
5431,N,WAYNE,,,70.5,Norway Maple,22,4.5,101,,
5411,N,WAYNE,,,66,Norway Maple,21,4.5,95,,
5401,N,WAYNE,,,65.5,Norway Maple,21,4.5,94,,
5401,N,WAYNE,,,110.5,Honey Locust,35,3,106,on Balmoral,
0,,,,,60,Norway Maple,19,4.5,86,middle tree north side of Balmoral; Balmoral to alley east,
