ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
1062,W,ROSEMONT,,,96,American Elm,31,4,124,
6229,N,WINTHROP,,,72,Green Ash,24,4,96,
6161,N,WINTHROP,,,117,N. Hackberry,38,3,114,
6131,N,WINTHROP,,,86,Sycamore,27,4,108,
1059,W,GLENLAKE,,,86,Silver Maple,27,3,81,
1065,W,GLENLAKE,,,83,Silver Maple,26,3,78,
6013,N,WINTHROP,,,72,Honey Locut,23,3,69,
1030,W,GLENLAKE,,,61,Ash,19,4  ?,76,
6201,N,KENMORE,,,70,Honey Locut,22,3,66,
6231,N,KENMORE,,,99,Elm,32,4,128,
6325,N,SHERIDAN,,,62,Honey Locut,20,3,60,
6253,N,SHERIDAN,,,71,Honey Locut,23,3,69,
1100,W,THORNDALE,,,65,Bradford Pear,21,?,?,Very Fast Growing
6307,N,WINTHROP,,,79,Honey Locut,25,3,75,
6217,N,WINTHROP,,,68,Honey Locut,22,3,66,
6131,N,WINTHROP,,,67,American Sycamore,21,4,84,
1056,W,GLENLAKE,,,106,Silver Maple,34,3,32,
1063,W,GLENLAKE,,,78,Silver Maple,25,3,75,
6035,N,WINTHROP,,,84,Silver Maple,27,3,81,
6011,N,WINTHROP,,,87,Honey Locut,28,3,84,
5957,N,WINTHROP,,,102,American Elm,32,4,128,
1031,W,GLENLAKE,,,60,Green Ash,19,4,76,
6201,N,KENMORE,,,63,Honey Locut,20,3,60,
6255,N,KENMORE,,,61,Honey Locut,19,3,57,
6250,N,KENMORE,,,90,Silver Maple,29,3,87,
6300,N,SHERIDAN,,,84,American Elm,27,4,124,
6236,N,SHERIDAN,,,102,Honey Locut,33,4,108,
6102,N,SHERIDAN,,,61,Silver Maple,19,3,57,
