ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE,
,,,,,61,Norway maple,19.4,4.5,87,"5900 N. Glenwood parkway, opposite 5861 N. Glenwood",
,,,,,60,Norway maple,19.1,4.5,86,"5900 N. Glenwood parkway, opposite 5873 N. Glenwood",
,,,,,140,Silver maple,44.6,3,134,NW corner of Glenwood & Rosedale,
,,,,,125,Norway maple,39.8,4.5,179,"Senn Park, opposite 5905 N. Glenwood",
,,,,,94,Silver maple,29.9,3,90,SW corner of Glenwood & Thorndale,
,,,,,95,Norway maple,30.3,4.5,136,"Senn Park, opposite 1406 W. Thorndale",Tree is half dead with broken trunk.
,,,,,77,Hackberry,24.5,5,123,"Senn Park, SW corner of Thorndale & Greenview",
,,,,,95,Mulberry,30.3,2.3,70,"Adjacent to 1515 Thorndale, in Senn Unity Garden",
,,,,,129,American elm,41.1,4,164,1515 W. Thorndale (rear),
,,,,,96,Eastern cottonwood,30.6,2,61,"Adjacent to 1515 Thorndale, in Senn Unity Garden",
,,,,,94,Eastern cottonwood,29.9,2,60,"Adjacent to 1515 Thorndale, in Senn Unity Garden",
,,,,,109,Silver maple,34.7,3,104,"Senn Unity Garden, parkway in front of Unity sign",
,,,,,104,American elm,33.1,4,132,1542 W. Thorndale parkway,
,,,,,108,Tree of hen,34.4,2,69,"Lincoln Garden, opposite Mabel bldg",
,,,,,65,Swamp white oak,20.7,4,83,"Senn Park, opposite Park View home",
,,,,,65,American elm,20.7,4,83,"Senn H. S., NW corner of Ardmore & Ridge",
,,,,,108,Silver maple,34.4,3,103,Opposite alley @ 1429 W. Ardmore,
,,,,,87,Silver maple,27.7,3,83,Opposite alley @ 1429 W. Ardmore,
1401,W,ELMDALE,,,60,Honey Locust,19.1,3,57,,
1403,W,ELMDALE,,,64,Honey Locust,20.4,3,61,,
1407,W,ELMDALE,,,70,Honey Locust,22.3,3,67,,
1415,W,ELMDALE,,,71,Honey Locust,22.6,3,68,,
1417,W,ELMDALE,,,73,Honey Locust,23.2,3,70,,
1419,W,ELMDALE,,,73,Honey Locust,23.2,3,70,,
1421,W,ELMDALE,,,61,Honey Locust,19.4,3,58,,
1425,W,ELMDALE,,,68,Honey Locust,21.7,3,65,,
1427,W,ELMDALE,,,61,Honey Locust,19.4,3,58,,
1429,W,ELMDALE,,,66,Honey Locust,21.0,3,63,,
1433,W,ELMDALE,,,77,Honey Locust,24.5,3,74,,
1439,W,ELMDALE,,,75,Honey Locust,23.9,3,72,,
1443,W,ELMDALE,,,66,Honey Locust,21.0,3,63,,
1445,W,ELMDALE,,,65,Honey Locust,20.7,3,62,,
1447,W,ELMDALE,,,72,Honey Locust,22.9,3,69,,
1457,W,ELMDALE,,,73,Honey Locust,23.2,3,70,,
1459,W,ELMDALE,,,75,Honey Locust,23.9,3,72,,
1461,W,ELMDALE,,,71,Honey Locust,22.6,3,68,,
1460,W,ELMDALE,,,88,Honey Locust,28.0,,0,,
1458,W,ELMDALE,,,73,Ash ,23.2,,0,has city taf from 2113 ,
1466,W,ELMDALE,,,78,Maple,24.8,,0,,
1404,W,ELMDALE,,,64,Honey Locust,20.4,,0,,
1521,W,ELMDALE,,,63,Honey Locust,20.1,,0,,
1531,W,ELMDALE,,,62,Honey Locust,19.7,,0,,
1537,W,ELMDALE,,,63,Maple,20.1,,0,,
1547,W,ELMDALE,,,65,Honey Locust,20.7,,0,,
1404,W,THORNDALE,,,60,Ash ,19.1,5,96,,
1406,W,THORNDALE,,,61,Oak,19.4,2,39,,
1412,W,THORNDALE,,,60,Oak,19.1,2,38,,
1414,W,THORNDALE,,,61.5,Maple,19.6,4.5,88,,
1522,W,THORNDALE,,,92,Silver maple,29.3,3,88,,
1528,W,THORNDALE,,,64,Ash ,20.4,,0,??????,
1442,W,THORNDALE,,,103,,32.8,,0,??????,
1527,W,THORNDALE,,,,,0.0,,0,??????,
1525,W,THORNDALE,,,104,Maple,33.1,3,99,,
1515,W,THORNDALE,,,74,,23.6,,0,??????,
5954,N,GREENVIEW,,,63,Northern Maple,20.1,4.5,90,,
5959,N,GREENVIEW,,,60,,19.1,,0,,
5957,N,GREENVIEW,,,61,,19.4,,0,,
5953,N,GREENVIEW,,,60,,19.1,,0,,
1542,W,ELMDALE,,,64,Honey Locust,20.4,3,61,,
1540,W,ELMDALE,,,75,Elm,23.9,4,96,,
1528,W,ELMDALE,,,76,Northern Maple,24.2,4.5,109,w/vines,
1522,W,ELMDALE,,,75,Silver maple,23.9,3,72,,
1520,W,ELMDALE,,,90,Northern Maple,28.7,4.5,129,,
1502,W,ELMDALE,,,67,Honey Locust,21.3,3,64,,
,,,,,96,Silver maple,30.6,3,92,Glenwood ?,
5932,N,GLENWOOD,,,85,Silver maple,27.1,3,81,trees off Thorndale,
5928,N,GLENWOOD,,,106,Silver maple,33.8,3,101,2nd,
5914,N,GLENWOOD,,,73,Silver maple,23.2,3,70,,
5902,N,GLENWOOD,,,140,Silver maple,44.6,3,134,,
5858,N,GLENWOOD,,,60,Norway Maple,19.1,4.5,86,has tretment tag,
5866,N,GLENWOOD,,,63,Honey Locust,20.1,3,60,,
5860,N,GLENWOOD,,,61,Norway 0r red Maple,19.4,4.5,87,?,
5854,N,GLENWOOD,,,65,Honey Locust,20.7,3,62,,
5748,N,GLENWOOD,,,68,Hackberry,21.7,,0,?,
5838,N,GLENWOOD,,,61,Catalpa,19.4,2,39,,
5814,N,GLENWOOD,,,93,Honey Locust,29.6,3,89,,
