ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
6028,N,HERMITAGE,303,2012,62,Honey Locust,19.7,3,59,
6032,N,HERMITAGE,303,2012,64,Honey Locust,20.4,3,61,
6034,N,HERMITAGE,303,2012,71,Honey Locust,22.6,3,68,
6036,N,HERMITAGE,303,2012,71,Honey Locust,22.6,3,64,
6038,N,HERMITAGE,303,2012,71,Honey Locust,22.6,3,68,
6058,N,HERMITAGE,303,2010,87,Honey Locust,27.7,3,83,
6064,N,HERMITAGE,303,2010,72,Maple,22.9,4.5,103,
6074,N,HERMITAGE,303,2010,133,Silver Maple,42.4,3,127,
6074,N,HERMITAGE,303,2010,151,Silver Maple,48.1,3,144,
6116,N,HERMITAGE,303,2010,64,Black Maple,20.4,5,102,
6126,N,HERMITAGE,303,2010,133,Honey Locust,42.4,3,127,
6154,N,HERMITAGE,303,2003,60,Honey Locust,19.1,3,57,
6145,N,HERMITAGE,303,2002,70,Honey Locust,22.3,3,67,
6143,N,HERMITAGE,303,2002,68,Honey Locust,21.7,3,65,
6141,N,HERMITAGE,303,2002,73,Honey Locust,23.2,3,70,
6119,N,HERMITAGE,303,2009,151,Silver Maple,48.1,3,141,
6111,N,HERMITAGE,303,2009,75,Honey Locust,23.9,3,72,
6105,N,HERMITAGE,303,2009,70,Silver Maple,22.3,3,67,
6069,N,HERMITAGE,303,2008,63,Honey Locust,20.1,3,60,
6067,N,HERMITAGE,303,2008,75,Honey Locust,23.9,3,72,
6065,N,HERMITAGE,303,2008,70,Honey Locust,22.3,3,67,
6061,N,HERMITAGE,303,2008,80,Honey Locust,25.5,3,76,
6055,N,HERMITAGE,303,2008,69,Honey Locust,22,3,66,
6043,N,HERMITAGE,303,2008,79,Honey Locust,25.2,3,75,
6027,N,HERMITAGE,303,2014,89,Sycamore,28.3,4,113,
6025,N,HERMITAGE,303,2014,124,Sycamore,39.5,4,158,
6079,N,RIDGE,303,2012,75,Sycamore,23.9,4,96,
