ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
5707,N,WINTHROP,,,86,Honey Locust,27.4,3,82,
5709,N,WINTHROP,,,86,Honey locust,27.4,3,82,
5726,N,WINTHROP,,,70,English Elm,22.3,4,89,
5727,N,WINTHROP,,,60,Linden,19.1,3,57,
5727,N,WINTHROP,,,61,Linden,19.4,3,58,
5730,N,WINTHROP,,,65,English Elm,20.7,4,83,
5739,N,WINTHROP,,,70,White Ash,22.3,5,112,
5758,N,WINTHROP,,,73,Linden,23.2,3,70,
5800,N,WINTHROP,,,106,American Elm,33.8,4,135,
5812,N,WINTHROP,,,61,White Ash,19.4,5,97,
5818,N,WINTHROP,,,72,American Elm,22.9,4,92,
5922,N,WINTHROP,,,63,Green Ash,20.1,4,80,
5703,N,KENMORE,,,82,Hackenberry,26.1,2,52,
5725,N,KENMORE,,,89,Hackenberry,28.3,2,57,
5736,N,KENMORE,,,94,Hackenberry,29.9,2,60,
5746,N,KENMORE,,,97,Hackenberry,30.9,2,62,
5750,N,KENMORE,,,63,Honey Locust,20.1,3,60,
5750,N,KENMORE,,,75,Honey Locust,23.9,3,72,
5751,N,KENMORE,,,95,Hackenberry,30.3,2,61,
5757,N,KENMORE,,,70,Hackenberry,22.3,2,45,
5818,N,KENMORE,,,82,Northern Catalpa,26.1,,0,
5820,N,KENMORE,,,67,Linden,21.3,3,64,
5828,N,KENMORE,,,62,Silver Maple,19.7,3,59,
5829,N,KENMORE,,,65,Linden,20.7,3,62,
5909,N,KENMORE,,,60,Ash,19.1,5,96,
5910,N,KENMORE,,,62,Honest Locust,19.7,3,59,
5920,N,KENMORE,,,80,Honey Locust,25.5,3,77,
1019,W,ARDMORE,,,109,Ash,34.7,5,174,Species?
1020,W,ARDMORE,,,73,Ash,23.2,5,116,
1020,W,ARDMORE,,,75,Ash,23.9,5,120,
1045,W,ARDMORE,,,69,Linden,22,3,66,
1050,W,ARDMORE,,,61,Silver Maple,19.4,3,58,
1002,W,THORNDALE,,,60,Linden,19.1,3,57,
1017,W,THORNDALE,,,121,Siberian Elm,38.5,2,77,
1019,W,THORNDALE,,,120,Siberian Elm,38.2,2,76,
1025,W,THORNDALE,,,62,Linden,19.7,3,59,
