ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
1650,W,Bryn Mawr,,,,Norway maple,0,,0,
5810,N,Rnswood,,,66,red maples,21,,0,
5812,N,Rnswood,,,70,red maples,22,,0,
1636,W,Hollywood,,,62,Norway maple ,20,4.5,89,
1648,W,Hollywood,,,51,Norway maple ,16,4.5,73,
1775,W,Olive,,,65,Norway maple ,21,4.5,93,
1605,W,Olive,,,69,linden,22,3,66,
1725,W,Olive,,,73,Norway maple,23,4.5,104,
1672,W,Olive,,,75,Norway maple ,24,4.5,108,
1672,W,Edgewater,,,39,white oak,12,2,25,
1659,W,Olive,,,77,Norway maple ,25,4.5,110,
1756,W,Olive,,,81,Norway maple ,26,4.5,116,
1652,W,Olive,,,82,Norway maple ,26,4.5,117,
1636,W,Olive,,,83,Norway maple ,26,4.5,119,
1608,W,Olive,,,81,catapult ,26,2,52,
1663,W,Olive,,,88,Norway maple ,28,4.5,126,
1604,W,Olive,,,105,American elm,33,4,134,
1747,W,Olive,,,117,silver maple,37,3,112,
1742,W,Olive,,,122,silver maple ,39,3,117,
1751,W,Olive,,,126,Silver maple,40,3,120,
1624,W,Olive,,,129,Sycamore ,41,4,164,
5652,N,Hermitage,,,67,catalpa,21,2,43,
1660,W,Edgewater,,,48,linden,15,3,46,
1662,W,Edgewater,,,51,locust ,16,3.5,57,
1616,W,Bryn Mawr,,,64,honey locusts ,20,3,61,
1650,W,Edgewater,,,98,catalpa,31,2,62,
1764,W,Thorndale,,,98,Honey locust,31,2,62,
1652,W,Edgewater,,,101,catalpa,32,2,64,
1655,W,Edgewater,,,69,honey locust ,22,3,66,
1653,W,Edgewater,,,69,honey locust ,22,3,66,
1675,W,Hollywood,,,46,Crimson maple,15,4.5,66,
1631,W,Edgewater,,,70,honey locust ,22,3,67,
1677,W,Hollywood,,,70,Crimson maple,22,3,67,
5616,N,Rnswood,,,42,white ash,13,5,67,
1625,W,Bryn Mawr,,,72,field elm,23,3,69,
1656,W,Edgewater,,,72,honey locust ,23,3,69,116
1624,W,Edgewater,,,48,Norway maple ,15,4.5,69,96
5646,N,Ashland,,,73,Silver maple,23,3,70,
,,Thorndale,,,112,Eastern cottonwood,36,2,71,"On RR embankment, end ofreet"
1627,W,Edgewater,,,76,honey locust ,24,3,73,
1635,W,Hollywood,,,51,Norway maple ,16,4.5,73,
5717,N,Rnswood,,,51,Norway maple ,16,4.5,73,
1615,W,Rosehill,,,52,Norway maple,17,4.5,75,
