"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
0000 X INVALID,"41.988135, -87.667095",65,American Elm,21,4,84
1421 W Ardmore (opposite),Senn HS (west of alley),107,Silver Maple,34,3,102
1421 W Ardmore (opposite),Senn HS (east of alley),86,Silver Maple,27,3,81
1411 Ardmore,,83,Silver Maple,26,3,78
1421 Ardmore,,82,Honey Locust,26,3,78
1429 Ardmore,,108,American Elm,34,4,136
1321 Ardmore,,60,American Linden,19,3,57
1319 Ardmore,,96,Silver Maple,31,3,93
1309 Ardmore,,66,Silver Maple,21,3,63
1263 Ardmore,,69,White Ash,22,5,110
1249 Ardmore,"Subtracted 12"" to compensate for dbl trunk.",80,Silver Maple,25,3,75
1254 Ardmore,,88,Northern Catalpa,28,2,56
1258 Ardmore,,97,Silver Maple,31,3,93
1264 Ardmore,,106,Silver Maple,34,3,102
1276 Ardmore,,87,White Ash,28,5,140
1280 Ardmore,,84,Silver Maple,27,3,81
1300 Ardmore,,108,Silver Maple,34,3,102
1308 Ardmore,multi trunk,140,Silver Maple,45,3,135
5734 Broadway,,54,White Ash,17,5,85
5820 Broadway,audit to come,53,Sugar Maple,17,5.5,93.5
5850 Broadway,audit to come,47,Sugar Maple,15,5.5,82.5
0000 X INVALID,"41.984238, -87.660238",52,White ash,17,5.5,93.5
1301 W Early,,78,Honey Locust,25,3,75
1305 W Early,,125,Silver Maple,40,3,120
1309 W Early,,62,Honey Locust,20,3,60
1312 W Early,,45,White Ash,14,5,70
1314 W Early,,74,White Ash,24,5,120
1313 W Early,,92,Silver Maple,29,3,87
1317 W Early,east parkway tree,80,Silver Maple,25,3,75
1317 W Early,west parkway tree,78,Silver Maple,25,3,75
1325 W Early,east parkway tree,97,Silver Maple,31,3,93
1325 W Early,west parkway tree,67,Silver Maple,21,3,63
1327 W Early,,80,Honey Locust,25,3,75
1334 W Early,,69,Norway Maple,22,4.5,99
1335 W Early,,67,Norway Maple,21,4.5,94.5
1341 W Early,,90,Silver Maple,29,3,87
1342 W Early,,82,Honey Locust,26,3,78
1345 W Early,,109,Silver Maple,35,3,105
1350 W Early,east parkway tree,88,Silver Maple,28,3,84
1350 W Early,west parkway tree,96,Silver Maple,31,3,93
1290 W Early,,77,White Ash,25,5,125
1288 W Early,,70,Honey Locust,22,3,66
1281 W Early,,72,Silver Maple,23,3,69
1279 W Early,,84,Silver Maple,27,3,81
1276 W Early,,118,Silver Maple,38,3,114
1275 W Early,,90,Silver Maple,29,3,87
1272 W Early,,82,Silver Maple,26,3,78
1264 W Early,,92,Honey Locust,29,3,87
1269 W Early,,86,Honey Locust,27,3,81
1261 W Early,,86,Honey Locust,27,3,81
1258 W Early,,94,Linden,30,3,90
1256 W Early,,81,Silver Maple,26,3,78
1252 W Early,,75,Honey Locust,24,3,72
1248 W Early,,117,SIlver Maple,37,3,111
1245 W Early,,88,Silver Maple,28,3,84
1239 W Early,,69,Honey Locust,22,3,66
1214 W Early,,70,Honey Locust,22,3,66
1214 W Early,,56,White Ash,18,5,90
5825 Glenwood,,75,Northern Catalpa,24,2,48
5814 Glenwood,,90,Honey Locust,29,3,87
5830 Glenwood,,92,Honey Locust,29,3,87
5840 Glenwood,,67,American Elm,21,4,84
