"Address (omit., ., etc)",TRACT,BLOCK,Circumference,Species,Diameter,GRF,Age,Additional Location Details,,
1300 W Thorndale,,,95,Norhern Catalpa,30,2,60,Speculation,,
1337 W Thorndale,,,78,Norhern Catalpa,25,2,20,Speculation,,
1218 W Thorndale,,,73,Norhern Catalpa,23.3,2,27,Speculation,,
1300 W Thorndale,,,61,Norhern Catalpa,19.4,2,39,Speculation,,
1216 W Thorndale,,,65,Norhern Catalpa,20.7,2,41,Speculation,,
1249 W. Thorndale,,,66,Norhern Catalpa,21,2,42,,,
1215 W Thorndale,,,68,Norhern Catalpa,21.5,2,43,,,
1252 W Thorndale,,,71,Norhern Catalpa,22.5,2,45,,,
1252 W Thorndale,,,68.5,Norhern Catalpa,21.6,2,45,,,
1325 W Thorndale,,,72,Norhern Catalpa,23,2,46,,,
5903 N Lakewood,,,71.5,Norhern Catalpa,23,2,46,,,
5903 N Lakewood,,,75,Norhern Catalpa,24,2,48,,,
1315 W Thorndale,,,78,Norhern Catalpa,24.8,2,50,,,
1324 W Thorndale,,,79,Norhern Catalpa,25,2,50,,,
1217 W Thorndale,,,80,Norhern Catalpa,25.5,2,51,,,
5901 N Lakewood,,,80.5,Norhern Catalpa,25.5,2,51,,,
1242 W Thorndale,,,80,Norhern Catalpa,25.5,2,51,,,
5957 N. Lakewood,,,81.5,Norhern Catalpa,26,2,52,,,
1317 W. Elmdale,,,81,Norhern Catalpa,26,2,52,,,
1330 W Elmdale,,,82,Norhern Catalpa,26,2,52,,,
1252 W Elmdale,,,82,Norhern Catalpa,26,2,52,,,
5861 N. Magnolia,,,82,Norhern Catalpa,26,2,52,,,
5937 N. Magnolia,,,83,Norhern Catalpa,26.5,2,53,Along side 5937 N. Magnolia,,
5937 N. Magnolia,,,83,Norhern Catalpa,26.5,2,53,,,
5925 M. Magnolia,,,86,Norhern Catalpa,27,2,54,,,
1255 W Elmdale,,,86,Norhern Catalpa,27,2,54,Speculation,,
1221 W Elmdale,,,86,Norhern Catalpa,27,2,54,Speculation,,
1219 W Elmdale,,,86,Norhern Catalpa,27.5,2,55,Speculation,,
1336 W Elmdale,,,58.5,Silver Maple,18.6,3,56,Speculation,,
5824 N Magnolia,,,58,Silver Maple,18.5,3,56,Speculation,,
1212 W Elmdale,,,59,Honey Locust,18.5,3,56,Speculation,,
1247 W Elmdale,,,88,Norhern Catalpa,28,2,56,Speculation,,
5828 N Magnolia,,,60,Honey Locust,19,3,57,Speculation,,
1261 W Elmdale,,,60,Honey Locust,19,3,57,Speculation,,
1321 W Elmdale,,,61,Hackberry,19,3,57,Speculation,,
1347 W. Elmdale,,,91,Norhern Catalpa,29,2,58,,,
1254 W Elmdale,,,92,Norhern Catalpa,29,2,58,,,
1241 W. Rosedale,,,91,Norhern Catalpa,29,2,58,,,
1215 W. Rosedale,,,92,Norhern Catalpa,29,2,58,,,
1358 W. Rosedale,,,61,Silver Maple,19.5,3,59,,,
5909 N. Glenwood,,,19.5,Honey Locust,19.5,3,59,Along 1359,,
1322 W. Rosedale,,,61,European Linden,19.5,3,59,,,
1246 W. Rosedale,,,93,Norhern Catalpa,29.5,2,59,,,
5911 N Glenwood,,,93,Norhern Catalpa,29.5,2,59,,,
1344 W. Rosedale,,,63,Honey Locust,20,3,60,,,
1344 W. Rosedale,,,63,Silver Maple,20,3,60,,,
1311 W Rosedale,,,64,Honey Locust,20,3,60,,,
5995 N. Glenwood,,,64,Silver Maple,20,3,60,,,
1312 W Ardmore,,,64,Honey Locust,20,3,60,Speculation,,
1343 W Ardmore,,,64,Silver Maple,20,3,60,Speculation,,
1345 W Ardmore,,,63,Silver Maple,20,3,60,Speculation,,
1262 W Ardmore,,,64,Honey Locust,20.5,3,61,Speculation,,
1214 W Ardmore,,,96,Norhern Catalpa,30.5,2,61,Speculation,,
1251 W Ardmore,,,96,Norhern Catalpa,30.5,2,61,Speculation,,
1237 N. Ardmore,,,65,Silver Maple,20.5,3,62,Speculation,,
5921 N. Magnolia,,,98,Norhern Catalpa,31,2,62,,,
1205 N. Ardmore,,,66,Silver Maple,21,3,63,,,
5943 N. Magnolia,,,66,Silver Maple,21,3,63,,,
1304 N. Ardmore,,,66,Silver Maple,21,3,63,,,
1220 N. Ardmore,,,99,Norhern Catalpa,31.5,2,63,,,
1340 N. Ardmore,,,101,Norhern Catalpa,32,2,64,,,
5911 N. Glenwood,,,68,Silver Maple,21.5,3,65,,,
5826 N. Glenwood,,,67.5,Honey Locust,21.5,3,65,,,
1348 N. Ardmore,,,67.5,Linden,21.5,3,65,,,
5935 N. Glenwood,,,104,Norhern Catalpa,33,2,66,,,
5951 N. Glenwood,,,70,Hackberry,22,3,66,,,
1255 W Elmdale,,,104,Norhern Catalpa,33,2,66,,,
5943 N. Glenwood,,,71,Silver Maple,22.5,3,68,,,
5943 N. Glenwood,,,71,Silver Maple,22.5,3,68,,,
1258 W. Elmdale,,,73,Honey Locust,23,3,69,,,
1243 W Elmdale,,,72,Silver Maple,23,3,69,,,
5850 N. Magnolia,,,72,Honey Locust,23,3,69,,,
1259 W Elmdale,,,110,Norhern Catalpa,35,2,70,,,
1314 W Elmdale,,,74.5,Honey Locust,23.5,3,71,,,
1201 W Elmdale,,,74,Silver Maple,23.5,3,71,,,
5915 N Magnolia,,,76,Silver Maple,24,3,72,Speculation,,On raiased bed
1333 W Elmdale,,,50,Norway Maple,16,4.5,72,,,
1332 W Elmdale,,,114,Norhern Catalpa,36,2,72,,,
5858 N Magnolia,,,115,Norhern Catalpa,36.5,2,73,Speculation,,
1345 W Elmdale,,,117,Norhern Catalpa,37.2,2,74,,,Super tall andraight
1330 W Elmdale,,,52,Norway Maple,16.5,4.5,74,,,
1315 W Elmdale,,,60,Green Ash,19,4,76,,,
1338 W Elmdale,,,74,Honey Locust,23.5,3,77,,,
1324 W Elmdale,,,80,Silver Maple,25.5,3,77,,,
1242 W Elmdale,,,82,Silver Maple,26,3,78,,,
1223 W Elmdale,,,81,Silver Maple,26,3,78,,,
1341 W Elmdale,,,83,Honey Locust,26.5,3,80,,,
1238 W Elmdale,,,83,Hackberry,26.5,3,80,,,
1356 W. Thorndale,,,86,Silver Maple,27,3,81,,,
1321 W. Thorndale,,,85,Silver Maple,27,3,81,,,
1207 W. Thorndale,,,86,Silver Maple,27,3,81,,,
1253 W. Elmdale,,,57,Norway Maple,18,4.5,81,,,
1240 W. Elmdale,,,87,Silver Maple,27.5,3,83,,,
