"Hello! This is the working master, without EPIC.",,,,,,,,,,,,,,
Anything broken will say so in the leftmost column. These likely need to be fixed manually.,,,,,,,,,,,,,,
"I can get a script set up to automatically pull tracts, but I'm not sure about blocks. I didn't look into this much when I made the master.",,,,,,,,,,,,,,
"The same lookup for the tract is the same lookup for the api pull, though, so it might be likely.",,,,,,,,,,,,,,
Oldest tree:,196,,,,,,,,,,,,,
Biggest tree:,192,"<- Though, one is just ""VERY BIG""...",,,,,,,,,,there are some values in L,,
,,,,,,,"consider retroactively applying formula =ROUND(F7/3.14,1)", ,consider retroactively applying formula =ROUND(H7*I7),, ,vvvvvvv,,
int,char,string,int,int,float/int (excl. #672),string,float/int,float,int,string,string,string,,
ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NEIGHBORHOOD,NOTE,,,
,,,305,2008,65,AMERICAN ELM,21,4.0,84,BARGE,"41.988135, -87.667095",,,BEGIN BARGE
1421,W,ARDMORE,305,2008,107,SILVER MAPLE,34,3.0,102,BARGE,SENN HS (WEST OF ALLEY),,,
1421,W,ARDMORE,305,2008,86,SILVER MAPLE,27,3.0,81,BARGE,SENN HS (EAST OF ALLEY),,,
1411,W,ARDMORE,305,2008,83,SILVER MAPLE,26,3.0,78,BARGE,,,,
1421,W,ARDMORE,305,2008,82,HONEY LOCUST,26,3.0,78,BARGE,,,,
1429,W,ARDMORE,305,2008,108,AMERICAN ELM,34,4.0,136,BARGE,,,,
1321,W,ARDMORE,305,3003,60,AMERICAN LINDEN,19,3.0,57,BARGE,,,,
1319,W,ARDMORE,305,3003,96,SILVER MAPLE,31,3.0,93,BARGE,,,,
1309,W,ARDMORE,305,3002,66,SILVER MAPLE,21,3.0,63,BARGE,,,,
1263,W,ARDMORE,305,3001,69,WHITE ASH,22,5.0,110,BARGE,,,,
1249,W,ARDMORE,305,3001,80,SILVER MAPLE,25,3.0,75,BARGE,SUBTRACTED 12 TO COMPENSATE FOR DBL TRUNK.,,,
1254,W,ARDMORE,305,1012,88,NORTHERN CATALPA,28,2.0,56,BARGE,,,,
1258,W,ARDMORE,305,1012,97,SILVER MAPLE,31,3.0,93,BARGE,,,,
1264,W,ARDMORE,305,1012,106,SILVER MAPLE,34,3.0,102,BARGE,,,,
1276,W,ARDMORE,305,1012,87,WHITE ASH,28,5.0,140,BARGE,,,,
1280,W,ARDMORE,305,1012,84,SILVER MAPLE,27,3.0,81,BARGE,,,,
1300,W,ARDMORE,305,1012,108,SILVER MAPLE,34,3.0,102,BARGE,,,,
1308,W,ARDMORE,305,1012,140,SILVER MAPLE,45,3.0,135,BARGE,MULTI TRUNK,,,
5734,N,BROADWAY,305,3011,54,WHITE ASH,17,5.0,85,BARGE,,,,
5820,N,BROADWAY,305,1008,53,SUGAR MAPLE,17,5.5,94,BARGE,AUDIT TO COME,,,
