"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age,
5400 N. Wayne,NE corner parkway,"93""",Honey Locust,"29.6""",3,89,
"                 """,N parkway,"98""",Honey Locust,"31.2""",3,94,
1354 W. Balmoral,Mid Parkway,"84""",American Elm?,"26.7""",4,107,*
"                """,NW side,"74""",Honey Locust,"23.6""",3,71,
"               """,Corner,"73""",Sliver maple,"23.2""",3,70,
1408 Balmoral,West End,"88""",Sliver maple,"28""",3,84,
1420 Balmoral,,"104""",Sliver maple,"33.1""",3,99,
1428 Balmoral,,"86""",Honey Locust,"27.4""",4.5,119,*
1436 Balmoral,,"80""",Sliver maple,"25.5""",3,82,
1438 Balmoral,Tree tagged Twice,"60""",GR or White Ash,"19.1""",5,95,
1448 Balmoral,,"67""",Norway Maple,"21.3""",4.5,107,
"1460       """,,"59""",Norway Maple,"18.8""",4.5,84,
"1472       """,By Lescas garden,"66""",Honey Locust,"21""",3,63,
"1341       """,,"65""",Silver maple,"21""",3,62,
"1351/55  """,,"64""",Silver maple,"20""",3,61,
"              """,West Emd,"71""",Silver maple,"22""",3,68,
"1401      """,,"53""",Ash,"17""",5,84,
"1415      """,,"94""",Sliver maple,"30""",3,90,
"1419      """,,"64""",Sliver maple,"20""",3,61,
"1421     """,,"67""",Honey Locust,"21""",3,64,
"1431     """,,"66""",Norway Maple?,"21""",4.5,94,
"1459     """,,"56""",Norway Maple?,"18""",4.5,80,
"1469      """,,"60""",Honey Locust,"18""",3,57,
5527 Glenwwod,,"103""",Honey Locust,,3,,
"5521        """,,"41""",Norway Maple,,4.5,,
"519          """,,"60""",Norway Maple,,4.5,,
"5517        """,,"48""",Honey Locust,,3,,
"5511        """,,"70""",American Elm,,4,,
"5505        """,,"86""",Green Ash,,4,,
"5506        """,,"89""",Silver maple,,3,,
"5508        """,,"100""",American Elm,,4,,
"5512       """,,"53""",American Elm,,4,,
"5514       """,,"114""",Silver maple,,3,,
"5518       """,,"50""",Honey Locust,,3,,
"5520       """,,"44""",Red Maple,,4.5,,
"5536       """,,"59""",White Ash,,5,,
"5538       """,,"64""",White Ash,,5,,
"5540       """,,"53""",Burr Oak,,5,,
"5542      """,,"51""",White Ash,,5,,
"5544       """,,"35""",Red Maple,,4.5,,
"5550       """,,"43""",Red Maple,,4.5,,
"5550        """,Just North,"84""",,,,,?
"5550       """,Parking Lot,"41""",Common Hackberry,,2,,
"5550       ""","          ""","40""",Common Hackberry,,2,,
,East side of Gregory,"33""",American Elm,,4,,
,on Glenwood around the ,,,,,,
,corner from 1355 Bryn Mawr,,,,,,
"5553        """,,"33""",Norway Maple,,4.5,,
"5551       """,,"68""",Honey Locust,,3,,
"5549        """,,"87""",Honey Locust,,3,,
"5537        """,,"97""",Honey Locust,,3,,
"5401         """,,"86""",Honey Locust,,3,,
"5411         """,,"88""",American Elm,,4,,
"5417         """,,"78""",Honey Locust,,3,,
"5417         """,,"101""",Honey Locust,,3,,
"5419         """,,"45""",Silver maple,,3,,
"5421         """,,"87""",Honey Locust,,3,,
"5425         """,,"85""",Silver maple,,3,,
,On cirner of Glenwwod around,"58""",White Ash,,5,,
,the corner from 1403 Rascher,,,,,,
,"                   ""","53""",Green Ash,,4,,
"5418          """,,"57""",Green Ash,,4,,
"5416          """,,"60""",Honey Locust,,3,,
"5412          """,,"35""",Green Ash,,4,,
"5410          """,,"39""",Norway Maple,,4.5,,
"                  """,,"57""",Green Ash,,4,,
"5400          """,,"83""",Silver Maple,,3,,
"5432          """,,"55""",Honey Locust,,3,,
"5434          """,,"92""",Silver Maple,,3,,
"5442          """,,"69""",White Ash,,5,,
"5444          """,,"64""",White Ash,,5,,
"5448          """,,"59""",Norway Maple,,4.5,,
"5452          """,,"43""",American Elm,,4,,
,On Glenwwod around the ,"85""",Honey Locust,,3,,
,corner from Catalpa -North of,,,,,,
,5455 Glenwood,,,,,,
"5449          """,,"98""",Silver Maple,,3,,
"5445           """,,"58""",Red Maple,,4.5,,
"5439           """,,"46""",White Ash,,5,,
"5437          """,,"39""",White Ash,,5,,
"5433         """,,"67""",White Ash,,5,,
"5431         """,,"32""",Green Ash,,4,,
"5302         """,,"58"" ",Honey Locust,,3,,
"5306         """,,"51"" ",White Ash,,5,,
"5308         """,,"37""",Norway Maple,,4.5,,
"5314        """,,"58"" ",White Ash,,5,,
"5318        """,,"62"" ",Honey Locust,,3,,
"5322         """,,"87""",Silver Maple,,3,,
"5325        """,Two trees togther,"34""",Honey Locust,,3,32,
"5325        """,Two trees togther,"42""",Honey Locust,,3,40,
"5315 & 5311  """,Property line between,"67""",White Ash,,5,106,*
"5311        """,,"62""",White Ash,,5,98,
"5305        """,,"87""",American Elm,,4,110,*
"5305       """,south of 5305 around corner,"43""",Field Elm,,?,,
"1354        """,On Glenwood corner,"31""",American Elm,,3,29,
1400 Summrdale,Around corner on Glenwood,"73""",Common Hackberry,,2,,
5338 Glenwood,,"59""",Norway Maple,,4.5,,
"5342         """,,"50""",Norway Maple,,4.5,,
"5346         """,,"44""",Norway Maple,,4.5,,
"5350        """,,"79""",Silver Maple,,3,,
"5354-56    """,,"37""",Norway Maple,,4.5,,
"5356         """,,"47""",Norway Maple,,4.5,,
1355 Balmoral,On Glenwood corner,"115""",Silver Elm,,2,,
5355 Glenwood,,"80""",Honey Locust,,3,,
"5351        """,,"86""",Honey Locust,,3,,
"5345       """,,"122""",Honey Locust,,3,,
"5345        """,,"86""",Siver Maple,,3,,
