"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
5200 N. Winthrop,,81,Honey Locust,25.80,3,77.38853503
5206 N. Winthrop,,85,Honey Locust,27.07,3,81.21019108
5206 N. Winthrop,,111,Honey Locust,35.35,3,106.05
5207 N. Winthrop,,63,Silver Maple,20.06,3,60.19
5217 N. Winthrop,,93,Honey Locust,29.62,3,88.85
5223 N. Winthrop,,80,Honey Locust,25.48,3,76.43
5224 N. Winthrop,,64,Honey Locust,20.38,3,61.15
5227 N. Winthrop,,81,Honey Locust,25.80,3,77.39
5228 N. Winthrop,,75,Honey Locust,23.89,3,71.66
5235 N. Winthrop,,69,Honey Locust,21.97,3,65.92
5235 N. Winthrop,,66,Honey Locust,21.02,3,63.06
5240 N. Winthrop,,80,Honey Locust,25.48,3,76.43
5248 N. Winthrop,,90,Honey Locust,28.66,3,85.99
5309 N. Winthrop,,67,Honey Locust,21.34,3,64.01
5321 N. Winthrop,,89,Honey Locust,28.34,3,85.03
5330 N. Winthrop,,85,Honey Locust,27.07,3,81.21
5327 N. Winthrop,,97,Honey Locust,30.89,3,92.68
5331 N. Winthrop,,72,Honey Locust,22.93,3,68.79
5339 N. Winthrop,,60,Honey Locust,19.11,3,57.32
5346 N. Winthrop,,97,Honey Locust,30.89,3,92.68
5346 N. Winthrop,,75,Honey Locust,23.89,3,71.66
5349 N. Winthrop,,63,Honey Locust,20.06,3,60.19
5352 N. Winthrop,,90,Honey Locust,28.66,3,85.99
5404 N. Winthrop,,85,Honey Locust,27.07,3,81.21
5411 N. Winthrop,,69,Honey Locust,21.97,3,65.92
5411 N. Winthrop,,69,Honey Locust,21.97,3,65.92
5422 N. Winthrop,,96,Honey Locust,30.57,3,91.72
5423 N. Winthrop,,69,Honey Locust,21.97,3,65.92
5428 N. Winthrop,,104,Siberian Elm,33.12,2,66.24
5428 N. Winthrop,,63,2,20.06,4,80.25
5443 N. Winthrop,,82,American Elm,26.11,4,104.46
5444 Winthrop,,74,Honey Locust,23.57,3,70.70
5449 Winthrop,,72,Honey Locust,22.93,3,68.79
5515 Winthrop,,61,Honey Locust,19.43,3,58.28
5515 Winthrop,,82,American Elm,26.11,4,104.46
5515 Winthrop,,69,American Elm,21.97,4,87.90
5517 Winthrop,,69,American Elm,21.97,4,87.90
5517 Winthrop,,82,American Elm,26.11,4,104.46
5539 Winthrop,,83,Honey Locust,26.43,3,79.30
5620 Winthrop,,97,Hackenberry,30.89,2,61.78
5624 Winthrop,,80,Hackenberry,25.48,2,50.96
5626 Winthrop,,73,Hackenberry,23.25,2,46.50
5630 Winthrop,,74,Hackenberry,23.57,2,47.13
5636 Winthrop,,67,Hackenberry,21.34,2,42.68
5638 Winthrop,,72,Hackenberry,22.93,2,45.86
5644 Winthrop,,80,Hackenberry,25.48,2,50.96
5648 Winthrop,,64,Hackenberry,20.38,2,40.76
5648 Winthrop,,65,Hackenberry,20.70,2,41.40
5650 Winthrop,,80,Hackenberry,25.48,2,50.96
5653 Winthrop,,88,Hackenberry,28.03,2,56.05
5653 Winthrop,,85,Hackenberry,27.07,2,54.14
5653 Winthrop,,97,Hackenberry,30.89,2,61.78
5653 Winthrop,,86,Hackenberry,27.39,2,54.78
1013 BALMORAL,,90,Honey Locust,28.66242038,3,85.94
1014 BALMORAL,,64,Honey Locust,20.38216561,3,61.12
1014 BALMORAL,,62,Honey Locust,19.74522293,3,59.21
1016 BALMORAL,,72,Honey Locust,22.92993631,3,68.75
1016 BALMORAL,,70,Honey Locust,22.29299363,3,66.85
1019 BALMORAL,,76,Honey Locust,24.20382166,3,72.57
1023 BALMORAL,,75,Honey Locust,23.88535032,3,71.62
1029 BALMORAL,,72,Honey Locust,22.92993631,3,68.75
1057 BALMORAL,,67,Honey Locust,21.33757962,3,63.98
1059 BALMORAL,,70,Honey Locust,22.29299363,3,66.85
1106 BALMORAL,,74,American Elm,23.56687898,4,94.22
1014 BERWYN,,69,Honey Locust,21.9634,3,65.89015
1016 BERWYN,,83,Honey Locust,26.4197,3,79.25916
1017 BERWYN,,62,Norway Maple,19.7352,4.5,88.80846
1023 BERWYN,,98,Honey Locust,31.1944,3,93.58311
1038 BERWYN,,70,Silver Maple,22.2817,3,66.84508
1044 BERWYN,,93,Honey Locust,29.6028,3,88.80846
1044 BERWYN,,100,Honey Locust,31.831,3,95.49297
1050 BERWYN,,88,Honey Locust,28.0113,3,84.03381
1056 BERWYN,,85,Honey Locust,27.0563,3,81.16902
1057 BERWYN,,66,Honey Locust,21.0085,3,63.02536
5200 KENMORE,,71,Honey Locust,22.6,3,67.8
5202 KENMORE,,60,Norway Maple,19.1,4.5,85.94
5218 KENMORE,,73,Honey Locust,23.24,3,69.71
5220 KENMORE,,71,Honey Locust,22.6,3,67.8
5229 KENMORE,,66,Norway Maple,21.01,4.5,94.54
5240 KENMORE,,80,Honey Locust,25.46,3,76.39
5312 KENMORE,,62,Honey Locust,19.74,3,59.21
5312 KENMORE,,77,Silver Maple,24.51,3,73.53
5330 KENMORE,,65,Honey Locust,20.69,3,62.07
5330 KENMORE,,65,Honey Locust,20.69,3,62.07
5340 KENMORE,,75,Honey Locust,23.87,3,71.62
5350 KENMORE,,82,Honey Locust,26.1,3,78.3
5351 KENMORE,,75,Honey Locust,23.87,3,71.62
5354 KENMORE,,92,Honey Locust,29.28,3,87.85
5357 KENMORE,,75,Honey Locust,23.87,3,71.62
5401 KENMORE,,63,Honey Locust,20.05,3,60.16
5401 KENMORE,,75,Honey Locust,23.87,3,71.62
5402 KENMORE,,74,Honey Locust,23.55,3,70.66
5420 KENMORE,,62,Ash,19.74,,0
5427 KENMORE,,60,Norway Maple,19.1,4.5,85.94
5430 KENMORE,,78,Honey Locust,24.83,3,74.48
5430 KENMORE,,115,Siberian Elm,36.61,2,73.22
5439 KENMORE,,73,Honey Locust,23.24,3,69.71
5440 KENMORE,,86,Honey Locust,27.37,3,82.12
5445 KENMORE,,61,Honey Locust,19.42,3,58.25
5451 KENMORE,,67,Linden,21.33,3,63.98
5458 KENMORE,,76,Honey Locust,24.19,3,72.57
5506 KENMORE,,68,Sugar Maple,21.65,5.5,119.05
5510 KENMORE,,74,Honey Locust,23.55,3,70.66
5514 KENMORE,,78,Honey Locust,24.83,3,74.48
5516 KENMORE,,89,Honey Locust,28.33,3,84.99
5522 KENMORE,,71,Honey Locust,22.6,3,67.8
5522 KENMORE,,66,Honey Locust,21.01,3,63.03
5620 KENMORE,,62,Honey Locust,19.74,3,59.21
5620 KENMORE,,75,American Elm,23.87,4,95.49
5630 KENMORE,,60,Hackberry,19.1,2,38.2
5630 KENMORE,,80,Hackberry ?,25.46,2,50.93
