"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
1244 w bryn mawr,,72,green ash,22.93,5,115
1260 w bryn mawr,,59,norway maple,18.79,4.5,85
1300 w bryn mawr,,143,white mulberry,45.54,2.3,105
1302 w bryn mawr,,77,american bassweed,24.52,0,0
1304 w bryn mawr,,68,catalpa,21.66,2,43
1310 w bryn mawr,,114,siver maple,36.31,3,109
1332 w bryn mawr,,67,sycamore,21.34,4,85
 1346 w bryn mawr,,83,siberian elm,26.43,2,53
1354 w bryn mawr,,75,silver maple,23.89,3,72
1412 w bryn mawr,,129,silver maple,41.08,3,123
1416 w bryn mawr,,65,silver maple,20.70,3,62
1420 w bryn mawr,,67,honey locust,21.34,3,64
1422 w bryn mawr,,88,honey locust,28.03,3,84
1434 w bryn mawr,,79,hackberry,25.16,,0
1446 w bryn mawr,,66,siberian elm,21.02,2,42
1448 w bryn mawr,,87,honey locust,27.71,3,83
1454 w bryn mawr,,64,honey locust,20.38,3,61
1458 w bryn mawr,,70,honey locust,22.29,3,67
1502 w bryn mawr,,85,honey locust,27.07,3,81
1506 w bryn mawr,,69,2,21.97,2,44
1416 w olive ave,,83,honey locust,26.43,3,79
1416 w olive ave,,58,norway maple,18.47,4.5,83
1440 w olive ave,,55,norway maple,17.52,4.5,79
1448 w olive ave ,,59,norway maple,18.79,4.5,85
1450 w olive ave,,58,norway maple,18.47,4.5,83
1464 w olive ave,,57,norway maple,18.15,4.5,82
1504 w olive ave,,89,silver maple,28.34,3,85
1512 w olive ave,,59,silver maple,18.79,3,56
1520 w olive ave,,58,green ash,18.47,5,92
1519 w olive ave,,78,silver maple,24.84,3,75
1505 w olive ave,,61,norway maple,19.43,4.5,87
1461 w olive ave,,61,norway maple,19.43,4.5,87
1453 w olive ave,,83,honey locust,26.43,3,79
1447 w olive ave,,61,norway maple,19.43,4.5,87
1419 w olive ave,,76,honey locust,24.20,3,73
1415 w olive ave,,53,norway maple,16.88,4.5,76
1437 w hollywood ave,,91,honey locust,28.98,3,87
1431 w hollywood ave,,64,honey locust,20.38,3,61
1429 w hollywood ave,,91,silver maple,28.98,3,87
1425 w hollywood ave,,96,silver maple,30.57,3,92
1423w hollywood ave,,90,siberian elm,28.66,2,57
1419 w hollywood ave,,67,honey locust,21.34,3,64
1411 w hollywood ave,,71,honey locust,22.61,3,68
1407 w hollywood ave,,82,silver maple,26.11,3,78
1401 w hollywood ave,,60,oak,19.11,2,38
1343 w hollywood ave,,75,honey locust,23.89,3,72
1341 w hollywood ave,,82,honey locust,26.11,3,78
1331 w hollywood ave,,97,silver maple,30.89,3,93
1321 w hollywood ave,,49,green ash,15.61,5,78
1315 w hollywood ave,,75,siberian elm,23.89,2,48
1316 w hollywood ave,,105,silver maple,33.44,3,100
1318 w hollywood ave,,94,silver maple,29.94,3,90
1320 w hollywood ave,,76,silver maple,24.20,3,73
1330 w hollywood ave,,58,unidentifiable,18.47,0,0
1338 w hollywood ave,,65,green ash,20.70,5,104
1340 w hollywood ave,,59,green ash,18.79,5,94
1404 w hollywood ave,,90,silver maple,28.66,3,86
1420 w hollywood ave,,82,honey locust,26.11,3,78
1436 w hollywood ave,,63,honey locust,20.06,3,60
1438 w hollywood ave,,75,honey locust,23.89,3,72
1438 w hollywood ave,,103,honey locust,32.80,3,98
1444 w hollywood ave,,75,honey locust,23.89,3,72
1448 w hollywood ave,,77,honey locust,24.52,3,74
1454 w hollywood ave,,80,honey locust,25.48,3,76
1458 w hollywood ave,,59,american bassweed,18.79
1500 w hollywood ave,,72,honey locust,22.93,3,69
1506 w hollywood ave,,60,silver maple,19.11,3,57
1512 w hollywood ave,,99,honey locust,31.53,3,95
1520 w hollywood ave,,95,honey locust,30.25,3,91
1522 w hollywood ave,,99,honey locust,31.53,3,95
1525 w hollywood ave,,60,norway maple,19.11,4.5,86
1517 w hollywood ave,,92,honey locust,29.30,3,88
1513 w hollywood ave,,59,american bassweed,18.79
1501w hollywood ave,,84,honey locust,26.75,3,80
1465 w hollywood ave,,68,honey locust,21.66,3,65
1459 w hollywood ave,,65,honey locust,20.70,3,62
1455 w hollywood ave,,73,honey locust,23.25,3,70
1443 w hollywood ave,,80,honey locust,25.48,3,76
1441 w hollywood ave,,87,honey locust,27.71,3,83
1400 w edgewater ave,,62,silver maple,19.75,3,59
1404 w edgewater ave,,84,silver maple,26.75,3,80
1416 w edgewater ave,,120,silver maple,38.22,3,115
1420 w edgewater ave,,65,silver maple,20.70,3,62
1422 w edgewater ave,,86,silver maple,27.39,3,82
1426 w edgewater ave,,124,siberian elm,39.49,2,79
1430 w edgewater ave,,102,silver maple,32.48,3,97
1440 w edgewater ave,,104,silver maple,33.12,3,99
1442 w edgewater ave,,95,silver maple,30.25,3,91
1448 w edgewater ave,,80,honey locust,25.48,3,76
1452 w edgewater ave,,82,silver maple,26.11,3,78
1458 w edgewater ave,,81,catalpa,25.80,2,52
1420 w edgewater ave,,65,silver maple,20.70,3,62
1422 w edgewater ave,,86,silver maple,27.39,3,82
1426 w edgewater ave,,124,siberian elm,39.49,2,79
1430 w edgewater ave,,102,silver maple,32.48,3,97
1440 w edgewater ave,,104,silver maple,33.12,3,99
1442 w edgewater ave,,95,silver maple,30.25,3,91
1448 w edgewater ave,,80,honey locust,25.48,3,76
1452 w edgewater ave,,82,silver maple,26.11,3,78
1458 w edgewater ave,,81,catalpa,25.80,2,52
1462 w edgewater ave,,92,silver maple,29.30,3,88
1500 w edgewater ave,,73,silver maple,23.25,3,70
1502 w edgewater ave,,75,american elm,23.89,4,96
1514 w edgewater ave,,90,catalpa,28.66,2,57
1516 w edgewater ave,,75,honey locust,23.89,3,72
