"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age,
1318 W Catalpa,W of Alley,62,Norway Maple,20,4.5,89,
1318 W Catalpa,NE corner,59.5,Norway Maple,19,4.5,85,
5507 Wayne,,109.5,American Elm,35,4,139,
5515 Wayne,,87.5,Honey Locust,28,3,84,
5517 Wayne,,100,Honey Locust,32,3,96,
5521 Wayne,,107,Honey Locust,34,3,102,
5527 Wayne,,81,Honey Locust,26,3,77,
5531 Wayne,,91,Honey Locust,29,3,87,
5539 Wayne,,87,Honey Locust,28,3,83,
5539 Wayne,,72,Honey Locust,23,3,69,
5545 Wayne,,94,Honey Locust,30,3,90,
5553 Wayne,,86,Honey Locust,27,3,82,
5557 Wayne,,95,Honey Locust,30,3,91,
5556 Wayne,,89.5,Honey Locust,29,3,86,
5534 Wayne,,57,Silver Maple,18,3,54,
5530 Wayne,,92.5,Honey Locust,29,3,88,
5526 Wayne,,99.5,Honey Locust,32,3,95,
5518 Wayne,,68,Norway Maple,22,4.5,97,
5510 Wayne,,95,Norway Maple,30,4.5,136,
Catalpa W of Wayne,,67,Norway Maple,21,4.5,96,
Catalpa near Glenwood,east of alley,72.5,Honey Locust,23,3,69,
5507 Lakewood,,63,Honey Locust,20,3,60,
5511 Lakewood,,95,Silver Maple,30,3,91,
5521 Lakewood,,98,Silver Maple,31,3,94,
5525 Lakewood,,101,Silver Maple,32,3,96,
5535 Lakewood,,74,Honey Locust,24,3,71,
5539 Lakewood,,84,Silver Maple,27,3,80,
5539 Lakewood,,73,Silver Maple,23,3,70,
5543 Lakewood,,76,Silver Maple,24,3,73,
5553 Lakewood,,74,Silver Maple,24,3,71,
5559 Lakewood,,68,Silver Maple,22,3,65,
Lakewood/Balmoral,corner,51,Honey Locust,16,3,49,
1255 Bryn Mawr,,70,Honey Locust,22,3,67,
1253 Bryn Mawr,,86,Silver Maple,27,3,82,
5560 Lakewood,,54,Honey Locust,17,3,52,
5548 Lakewood,,63,Norway Maple,20,4.5,90,
5542 Lakewood,,91,Silver Maple,29,3,87,
5538 Lakewood,,93,Silver Maple,30,3,89,
5538 Lakewood,in front yard,77,Horse Chestnut,25,8,196,
5536 Lakewood,,84,Honey Locust,27,3,80,
5526 Lakewood,,67,Silver Maple,21,3,64,
5526 Lakewood,,109,Honey Locust,35,3,104,
5518 Lakewood,,69,Honey Locust,22,3,66,
5516 Lakewood,,60,Norway Maple,19,4.5,86,
5510 Lakewood,,63,Norway Maple,20,4.5,90,
5507 Lakewood,,60,Honey Locust,19,3,57,
Catalpa/Lakewood,on corner,81,Honey Locust,26,3,77,
1255 Catalpa,,59,Honey Locust,19,3,56,
1252 Catalpa,,125,Silver Maple,40,3,119,
1248 Catalpa,,55,Norway Maple,18,4.5,79,
5542 Lakewood,back yard,94,Large Leaf Linden,30,3,90,?? Not sure of the growth factor
5526 Magnolia,North end of convent bldg,95,Silver Maple,30,3,91,
5538 Magnolia,,68,Silver Maple,22,3,65,
5540 Magnolia,,73,Silver Maple,23,3,70,
5544 Magnolia,,112,American Sycamore,36,4,143,
Cochran Park,"outside park, west",67,Honey Locust,21,3,64,
Cochran Park,"outside park, west",69,Honey Locust,22,3,66,
Cochran Park,in park,60,Little Leaf Linden,19,3,57,
Cochran Park,in park,67,Honey Locust,21,3,64,**diseased**
Cochran Park,in park,58,Honey Locust,18,3,55,
Cochran Park,in park,57,Honey Locust,18,3,54,
1238 Bryn Mawr,,63,Honey Locust,20,3,60,
1238 Bryn Mawr,,63,Honey Locust,20,3,60,
1232 Bryn Mawr,,57,Honey Locust,18,3,54,
5553 Magnolia,,79,Honey Locust,25,3,75,
5541 Magnolia,,79,American Sycamore,25,4,101,
5537 Magnolia,,78,Honey Locust,25,3,75,
St. Ita School,north end,80,Silver Maple,25,3,76,
St. Ita School,,76,Silver Maple,24,3,73,
St. Ita School,,75,Honey Locust,24,3,72,
St. Ita School,,68,Honey Locust,22,3,65,
St. Ita School,,68,American Sycamore,22,4,87,
1220 Catalpa,south end,91,Honey Locust,29,3,87,
5502 Magnolia,on Catalpa side/corner,73,Honey Locust,23,3,70,
Catalpa,b/w Magnolia & Alley,65,Honey Locust,21,3,62,
Catalpa and W Alley,on corner of alley,78,Honey Locust,25,3,75,
5502 N Magnolia,,81,Silver Maple,26,3,77,
5506 Magnolia,,81,Honey Locust,26,3,77,
5510 Magnolia,,87,Honey Locust,28,3,83,
5516 Magnolia,,80,Honey Locust,25,3,76,
5516 Magnolia,,78,Honey Locust,25,3,75,
5526 Magnolia,south end of convent bldg,90,Silver Maple,29,3,86,
5457 Wayne,N side of house closest to alley,93,Honey Locust,30,3,89,
5457 Wayne,N side of house middle,57,Honey Locust,18,3,54,
,near corner of Catalpa/Wayne,79,Honey Locust,25,3,75,
5455 N Wayne,,87,Northern Catalpa,28,2,55,
5449/5553 Wayne,,62,Honey Locust,20,3,59,
5443 Wayne,,36.5,Ginkgo,12,,0,do not know growth factor
5437 Wayne,,57,Norway Maple,18,4.5,82,
5437 Wayne,,109.5,Honey Locust,35,3,105,
5431 Wayne,,70.5,Norway Maple,22,4.5,101,
5411 Wayne,,66,Norway Maple,21,4.5,95,
5401 Wayne,,65.5,Norway Maple,21,4.5,94,
5401 Wayne,on Balmoral,110.5,Honey Locust,35,3,106,
