"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
1062 W. Rosemont,,"96""",American Elm,"31""",4,124
6229 W. Winthrop,,"72""",Green Ash,"24""",4,96
6161 W Winthrop,,"117""",N. Hackberry,"38""",3,114
6131 W Winthrop,,"86""",Sycamore,"27""",4,108
1059 W. Glenlake,,"86""",Silver Maple,"27""",3,81
1065 W. Glenlake,,"83""",Silver Maple,"26""",3,78
6013 N. Winthrop,,"72""",Honey Locut,"23""",3,69
1030 W. Glenlake,,"61""",Ash,"19""",4  ?,76
6201 N. Kenmore,,"70""",Honey Locut,"22""",3,66
6231 N. Kenmore,,"99""",Elm,"32""",4,128
6325 N. Sheridan,,"62""",Honey Locut,"20""",3,60
6253 N. Sheridan,,"71""",Honey Locut,"23""",3,69
1100 W. Thorndale,Very Fast Growing,"65""",Bradford Pear,"21""",?,?
6307 N. Winthrop,,"79""",Honey Locut,"25""",3,75
6217 N. Winthrop,,"68""",Honey Locut,"22""",3,66
6131 N. Winthrop,,"67""",American Sycamore,"21""",4,84
1056 W. Glenlake,,"106""",Silver Maple,"34""",3,32
1063 W. Glenlake,,"78""",Silver Maple,"25""",3,75
6035 N. Winthrop,,"84""",Silver Maple,"27""",3,81
6011 N. Winthrop,,"87""",Honey Locut,"28""",3,84
5957 N Winthrop,,"102""",American Elm,"32""",4,128
1031 W. Glenlake,,"60""",Green Ash,"19""",4,76
6201 N.Kenmore,,"63""",Honey Locut,"20""",3,60
6255 N.Kenmore,,"61""",Honey Locut,"19""",3,57
6250 N.Kenmore,,"90""",Silver Maple,"29""",3,87
6300 N. Sheridan,,"84""",American Elm,"27""",4,124
6236 N. Sheridan,,"102""",Honey Locut,"33""",4,108
6102 N. Sheridan,,"61""",Silver Maple,"19""",3,57
