"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age,
6028 N. Hermitage,,62,Honey Locust,,3,59,
6032 N. Hermitage,,64,Honey Locust,,3,61,
6034 N. Hermitage,,71,Honey Locust,,3,68,
"6036         """,,71,Honey Locust,,3,64,
"6038          """,,71,Honey Locust,,3,68,
"6058          """,,87,Honey Locust,,3,83,
"6064       """,,72,Maple,,4.5,103,*
"6074          """,,133,Silver Maple,,3,127,*
"6074          """,,151,Silver Maple,,3,144,*
"6116            """,,64,Blavk Maple,,5,102,*
"6126            """,,133,Honey Locust,,3,127,*
"6154            """,,60,Honey Locust,,3,57,
"6145           """,,70,Honey Locust,,3,67,
"6143            """,,68,Honey Locust,,3,65,
"6141            """,,73,Honey Locust,,3,70,
"6119           """,,151,Silver Maple,,3,141,*
"6111            """,,75,Honey Locust,,3,72,
"6105            """,,70,Silver Maple,,3,67,
"6069             """,,63,Honey Locust,,3,60,
"6067         """,,75,Honey Locust,,3,72,
"6065          """,,70,Honey Locust,,3,67,
"6061            """,,80,Honey Locust,,3,76,
"6055            """,,69,Honey Locust,,3,66,
"6043            """,,79,Honey Locust,,3,75,
"6027             """,,89,Sycamore,,4,113,*
"6025             """,,124,Sycamore,,4,158,*
6079 N. Ridge,,75,Sycamore,,4,96,
