"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
5707 Winthrop,,86,Honey Locust,27.37,3,82
5709 Winthrop,,86,Honey locust,27.37,3,82
5726 Winthrop,,70,English Elm,22.28,4,89
5727 Winthrop,,60,Linden,19.1,3,57
5727 Winthrop,,61,Linden,19.42,3,58
5730 Winthrop,,65,English Elm,20.69,4,83
5739 Winthrop,,70,White Ash,22.28,5,111
5758 Winthrop,,73,Linden,23.24,3,70
5800 Winthrop,,106,American Elm,33.74,4,135
5812 Winthrop,,61,White Ash,19.42,5,97
5818 Winthrop,,72,American Elm,22.92,4,92
5922 Winthrop,,63,Green Ash,20.05,4,80
5703 Kenmore,,82,Hackenberry,26.1,2,52
5725 Kenmore,,89,Hackenberry,28.33,2,57
5736 Kenmore,,94,Hackenberry,29.92,2,60
5746 Kenmore,,97,Hackenberry,30.88,2,62
5750 Kenmore,,63,Honey Locust,20.05,3,60
5750 Kenmore,,75,Honey Locust,23.87,3,72
5751 Kenmore,,95,Hackenberry,30.24,2,60
5757 Kenmore,,70,Hackenberry,22.28,2,45
5818 Kenmore,,82,Northern Catalpa,26.1,,0
5820 Kenmore,,67,Linden,21.33,3,64
5828 Kenmore,,62,Silver Maple,19.74,3,59
5829 Kenmore,,65,Linden,20.69,3,62
5909 Kenmore,,60,Ash,19.1,5,95
5910 Kenmore,,62,Honest Locust,19.74,3,59
5920 Kenmore,,80,Honey Locust,25.46,3,76
1019 Ardmore,Species?,109,Ash,34.7,5,173
1020 Ardmore,,73,Ash,23.24,5,116
1020 Ardmore,,75,Ash,23.87,5,119
1045 Ardmore,,69,Linden,21.96,3,66
1050 Ardmore,,61,Silver Maple,19.42,3,58
1002 Thorndale,,60,Linden,19.1,3,57
1017 Thorndale,,121,Siberian Elm,38.52,2,77
1019 Thorndale,,120,Siberian Elm,38.2,2,76
1025 Thorndale,,62,Linden,19.74,3,59
