"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age
WA Garden N Ravenswood @ Balmoral,"41°58'46.9""N 87°40'28.9""W",78,Siberian Elm,24.8,2,49.7
5239 N Ashland,East Parkway,45,Black Locust,14.3,3.5,50.2
5547 N Ashland,Mellin Playlot Park,52.5,Basswood,16.7,3,50.2
1610 W Berwyn,North Parkway,52.5,Honey Locust,16.7,3,50.2
1743 W Bryn Mawr,South Parkway near Alley,52.5,Honey Locust,16.7,3,50.2
5404 N Paulina,West Parkway,35,Norway Maple,11.1,4.5,50.2
5501-5503 N Paulina,East Parkway-Middle Tree,52.5,Honey Locust,16.7,3,50.2
1650 W Rascher,North Parkway,52.5,Honey Locust,16.7,3,50.2
5313 N Ravenswood,East Parkway-1-S,46,Locust,14.6,3.5,51.3
1735 W Bryn Mawr,South Parkway E Property Edge,54,Honey Locust,17.2,3,51.6
5238 N Clark,West Parkway,40.5,American Elm,12.9,4,51.6
1656 W Foster,North Parkway Lutheran Church Main Stairs -1W,40.5,Green Ash,12.9,4,51.6
5453 N Paulina,East Parkway,81.5,Catalpa,26,2,51.9
5547 N Ravenswood,On Bryn Mawr South Parkway; Large Industrial Bldg,41,American or Slippery Elm,13.1,4,52.2
5225 N Ashland,East Parkway,55,Honey Locust,17.5,3,52.5
5301 N Ravenswood Unit 107-08,On Berwyn North Parkway,55.3,Honey Locust,17.6,3,52.8
5345 N Ashland,East Parkway,55.5,Linden,17.7,3,53
1643 W Berwyn,South Parkway,33.5,White Ash,10.7,5,53.3
1722 W Gregory,North Parkway 1 W,56,Crabapple,17.8,3,53.5
1650 W Rascher,On Paulina East Parkway Near Corner,56,Honey Locust,17.8,3,53.5
1750-1752 W Summerdale,North Parkway-1W Middle,56,Honey Locust,17.8,3,53.5
WA Garden N Ravenswood near Berwyn Tunnel,"41°58'41.1""N 87°40'28.4""W",84,Siberian Elm,26.8,2,53.5
5256 Paulina,On Berwyn South Parkway-1E,42.5,Green Ash,13.5,4,54.1
1509 W Summerdale,South Parkway @ Corner,85,Hackberry,27.1,2,54.1
5338 N Ashland,West Parkway,57,Basswood,18.2,3,54.5
5254 N Ashland,On Berwyn North Parkway,57.5,Basswood,18.3,3,54.9
5313 N Ravenswood,East Parkway-1N,49.5,Locust,15.8,3.5,55.2
1743 W Bryn Mawr,South Parkway 1E,58,Honey Locust,18.5,3,55.4
5536 N Paulina,West Parkway: Multi Trunk; Used Largest Circ,58,Honey Locust,18.5,3,55.4
1647 W Rascher,South Parkway,87,Catalpa,27.7,2,55.4
5353 N Ashland,East Parkway,35,Blue Spruce,11.1,5,55.7
1729 W Rascher,South Parkway; Multi-trunk. Used largest trunk.,58.5,Silver Maple,18.6,3,55.9
5301 N Ravenswood Unit 106-07,On Berwyn North Parkway,58.5,Honey Locust,18.6,3,55.9
5416 N Ashland,West Parkway,39.25,Norway Maple,12.5,4.5,56.3
5406 N Ashland,West Parkway,59,Honey Locust,18.8,3,56.4
1700 W Catalpa,North Parkway,59,Honey Locust,18.8,3,56.4
1700 W Catalpa,North Parkway,60,Honey Locust,19.1,3,57.3
5348 N Paulina,West Parkway,40,Norway Maple,12.7,4.5,57.3
5434 N Paulina,On Rascher North Parkway 1 W Middle,40,Norway Maple,12.7,4.5,57.3
1720 W Summerdale,North Parkway,60,Silver Maple,19.1,3,57.3
5335 N Ravenswood,East Parkway,51.5,Locust,16.4,3.5,57.4
1739 W Berwyn,South Parkway,45.5,Green Ash,14.5,4,58
1720 W Rascher,North Parkway,91,Catalpa,29,2,58
5235 N Ravenswood,On Farragut North Parkway-1 W,45.5,Green Ash,14.5,4,58
1733 W Catalpa,South Parkway,61,Honey Locust,19.4,3,58.3
1703-1705 W Catalpa,South Parkway Near Garage Door,61.5,Honey Locust,19.6,3,58.8
5210 N Paulina,West Parkway,41,Norway Maple,13.1,4.5,58.8
5300 N Paulina,West Parkway,41,Norway Maple,13.1,4.5,58.8
5517 N Paulina,East Parkway-1S,61.5,Honey Locust,19.6,3,58.8
1652 W Foster,North Parkway Lutheran Church @ Center Courtyard,46.5,American Elm,14.8,4,59.2
5300 Paulina,On Berwyn North Parkway-1W,62.5,Honey Locust,19.9,3,59.7
1650 W Rascher,North Parkway,62.5,Honey Locust,19.9,3,59.7
1741 W Gregory,South Parkway,47,Horse Chestnust/Buckeye,15,4,59.9
1604 W Farragut,North Parkway,42,Red Maple,13.4,4.5,60.2
1728 W Rascher,North Parkway,42,Norway Maple,13.4,4.5,60.2
1753-1755 W Rascher,On Ravenswood East Parkway,95.5,Catalpa,30.4,2,60.8
1644 W Farragut,North Parkway,42.5,Red Maple,13.5,4.5,60.9
5414 N Paulina,West Parkway,34.75,Red Pine,11.1,5.5,60.9
5308 N Paulina,West Parkway,64,Locust,20.4,3,61.1
5545 N Ravenswood,On Gregory North Parkway by Parking Lot 1 E,64,Honey Locust,20.4,3,61.1
5418 N Ashland,West Parkway,43,Norway Maple,13.7,4.5,61.6
1727 W Bryn Mawr,South Parkway,64.5,Honey Locust,20.5,3,61.6
1729 W Bryn Mawr,South Parkway,64.5,Honey Locust,20.5,3,61.6
1655-1657 W Catalpa,On Paulina East Parkway Near Corner,97.5,Catalpa,31.1,2,62.1
1704 W Catalpa,North Parkway,65,Honey Locust,20.7,3,62.1
5454 N Paulina,West Parkway,43.5,Norway Maple,13.9,4.5,62.3
5319 N Ravenswood,East Parkway,98,Catalpa,31.2,2,62.4
5339 N Ravenswood,East Parkway,56,Locust,17.8,3.5,62.4
1752 W Catalpa,North Parkway near Alley,99,Catalpa,31.5,2,63.1
1706 W Balmoral,North Parkway,99.5,Catalpa,31.7,2,63.4
1740 W Rascher,North Parkway,99.5,Catalpa,31.7,2,63.4
1718 W Farragut,North Parkway,66.5,Locust,21.2,3,63.5
5337 N Ravenswood,East Parkway,57,Locust,18.2,3.5,63.5
5501-5503 N Paulina,East Parkway-1S,66.75,Honey Locust,21.3,3,63.8
1700 W Catalpa,North Parkway,67,Honey Locust,21.3,3,64
1622 W Farragut,North Parkway,67,Honey Locust,21.3,3,64
5517 N Paulina,East Parkway-1N,67,Honey Locust,21.3,3,64
1720 W Balmoral,North Parkway,40.5,Ash,12.9,5,64.5
5545 N Paulina,East Parkway,58,Black Locust,18.5,3.5,64.6
5338 N Ashland,West Parkway,68,Basswood,21.7,3,65
5414 N Ashland,West Parkway,68,Honey Locust,21.7,3,65
5440 N Ashland,West Parkway,68,Honey Locust,21.7,3,65
1726 W Catalpa,North Parkway,68,Honey Locust,21.7,3,65
1736 W Catalpa,North Parkway,102,Catalpa,32.5,2,65
1622 W Rascher,North Parkway,68,Honey Locust,21.7,3,65
5355 N Ravenswood,East Parkway,102,Cottonwood,32.5,2,65
5532 N Paulina,On Gregory North Parkway @ Alley,68.5,Honey Locust,21.8,3,65.4
1723 W Bryn Mawr,South Parkway,46,Norway Maple,14.6,4.5,65.9
5415 N Ashland,East Parkway,104,Catalpa,33.1,2,66.2
5421 N Ashland,East Parkway,69.5,Honey Locust,22.1,3,66.4
5207 N Ashland,East Parkway,52.5,American Elm,16.7,4,66.9
5235 N Ashland,Andersonville Playlot Park,70,KY Coffeetree,22.3,3,66.9
1706 W Balmoral,North Parkway,42,Ash,13.4,5,66.9
5300 Paulina,On Berwyn North Parkway-1E,70,Honey Locust,22.3,3,66.9
1637 W Summerdale,South Parkway,70,Honey Locust,22.3,3,66.9
5434 N Ashland,On Rascher North Parkway,47,Norway Maple,15,4.5,67.4
5520 N Paulina,On Gregory South Parkway 2 W,47,Norway Maple,15,4.5,67.4
5520 N Paulina,On Gregory South Parkway 3 W,47,Norway Maple,15,4.5,67.4
5254 N Ashland,On Berwyn North Parkway,42.5,White Ash,13.5,5,67.7
1741 W Catalpa,South Parkway,71,Honey Locust,22.6,3,67.8
5434 N Paulina,On Rascher North Parkway 1 W,47.5,Norway Maple,15.1,4.5,68.1
1740 W Catalpa,North Parkway,53.5,American Elm,17,4,68.2
1743 W Bryn Mawr,South Parkway Middle Tree,71.5,Honey Locust,22.8,3,68.3
1702 W Catalpa,North Parkway,72,Honey Locust,22.9,3,68.8
5312 N Paulina,West Parkway,48,Norway Maple,15.3,4.5,68.8
1640 W Rascher,North Parkway,48,Red Maple,15.3,4.5,68.8
1715 W Rascher,South Parkway @ Alley Corner,108,Catalpa,34.4,2,68.8
5545 N Ravenswood,On Gregory North Parkway by Parking Lot 1 W,48,Norway Maple,15.3,4.5,68.8
1731 W Summerdale,South Parkway,72,Silver Maple,22.9,3,68.8
1700 W Foster,On Paulina West Parkway Near Corner,48.25,Norway Maple,15.4,4.5,69.1
5235 N Ashland,Andersonville Playlot Park,72.5,KY Coffeetree,23.1,3,69.3
1702 W Catalpa,North Parkway,72.5,Honey Locust,23.1,3,69.3
1719 W Gregory,South Parkway,72.5,Linden,23.1,3,69.3
1710 W Balmoral,North Parkway-1E,48.5,Norway Maple,15.4,4.5,69.5
5520 N Paulina,On Gregory South Parkway Corner,48.5,Norway Maple,15.4,4.5,69.5
1639 W Summerdale,South Parkway,48.5,Red Maple,15.4,4.5,69.5
5554 N Paulina,West Parkway,73,Honey Locust,23.2,3,69.7
5219 N Ashland,East Parkway,55,American Elm,17.5,4,70.1
5355 N Ashland,East Parkway,49,Norway Maple,15.6,4.5,70.2
1751-1753 W Catalpa,South Parkway @ Corner; Multi-trunk:Largest Used,49,Norway Maple,15.6,4.5,70.2
5501-5503 N Paulina,East Parkway-1N,73.5,Honey Locust,23.4,3,70.2
1610 W Summerdale,North Parkway,49,Norway Maple,15.6,4.5,70.2
1715 W Catalpa,South Parkway,74,Honey Locust,23.6,3,70.7
1750-1752 W Summerdale,North Parkway-1E Middle,74,Honey Locust,23.6,3,70.7
1750-1752 W Summerdale,North Parkway-2E,74,Honey Locust,23.6,3,70.7
5234 N Ashland,West Parkway,49.5,Norway Maple,15.8,4.5,70.9
1705 W Farragut,South Parkway,49.5,Norway Maple,15.8,4.5,70.9
1751 W Summerdale,South Parkway,49.5,Norway Maple,15.8,4.5,70.9
5235 N Ashland,Andersonville Playlot Park,75,KY Coffeetree,23.9,3,71.7
5354 N Ashland,West Parkway,75,Honey Locust,23.9,3,71.7
1729 W Balmoral,South Parkway,45,White Ash,14.3,5,71.7
1646 W Farragut,North Parkway,50,Red Maple,15.9,4.5,71.7
1727 W Gregory,South Parkway,50,Norway Maple,15.9,4.5,71.7
1750-1752 W Summerdale,North Parkway @ NE Corner Ravenswood,75,Honey Locust,23.9,3,71.7
1633 W Berwyn,South Parkway,50.5,Red Maple,16.1,4.5,72.4
1747 W Farragut,South Parkway,50.5,Maple,16.1,4.5,72.4
5304 N Paulina,West Parkway,50.5,Norway Maple,16.1,4.5,72.4
1726 W Balmoral,North Parkway,114,Catalpa,36.3,2,72.6
1725 W Catalpa,South Parkway,76,Honey Locust,24.2,3,72.6
1647 W Rascher,South Parkway @ Corner,76,Honey Locust,24.2,3,72.6
5547 N Ravenswood,On Bryn Mawr South Parkway; 1E,57,American or Slippery Elm,18.2,4,72.6
5443 N Paulina,East Parkway,76.25,Honey Locust,24.3,3,72.9
1636 W Berwyn,North Parkway,76.5,Silver Maple,24.4,3,73.1
1750-1752 W Rascher,North Parkway,51,Norway Maple,16.2,4.5,73.1
1602-1604 W Summerdale,North Parkway,51,Norway Maple,16.2,4.5,73.1
1736 W Summerdale,North Parkway,76.5,Honey Locust,24.4,3,73.1
5235 N Ravenswood,On Farragut North Parkway-1 E,57.5,Green Ash,18.3,4,73.2
