"Address (omit St., Ave., etc)",Additional Location Details,Circumference,Species,Diameter,GRF,Age,
Bryn Mawr,1650,,Norway maple,0,,0,
Ravenswood,5810,66,red maples,21,,0,
Ravenswood,5812,70,red maples,22,,0,
Hollywood,1636,62,Norway maple ,81,26,4.5,
Hollywood,1648,51,Norway maple ,67,21,4.5,
Olive,1775,65,Norway maple ,21,4.5,21,
Olive,1605,69,linden,22,3,22,
Olive,1725,73,Norway maple,23,4.5,23,
Olive,1672,75,Norway maple ,24,4.5,24,
Edgewater,1672,39,white oal,12,2,25,
Olive,1659,77,Norway maple ,25,4.5,25,
Olive,1756,81,Norway maple ,26,4.5,26,
Olive,1652,82,Norway maple ,26,4.5,26,
Olive,1636,83,Norway maple ,26,4.5,26,
Olive,1608,81,catapult ,26,2,26,
Olive,1663,88,Norway maple ,28,4.5,28,
Olive,1604,105,American elm,33,4,33,
Olive,1747,117,silver maple,37,3,37,
Olive,1742,122,silver maple ,39,3,39,
Olive,1751,126,Silver maple,40,3,40,
Olive,1624,129,Sycamore ,41,4,41,
Hermitage,5652,67,catalpa,21,2,43,
Edgewater,1660,48,linden,15,3,46,
Edgewater,1662,51,locust ,16,3.5,57,
Bryn Mawr,1616,64,honey locusts ,61,3,61,
Edgewater,1650,98,catalpa,31,2,62,
Thorndale,1764,98,Honey locust,31,2,62,
Edgewater,1652,101,catalpa,32,2,64,
Edgewater,1655,69,honey locust ,22,3,66,
Edgewater,1653,69,honey locust ,22,3,66,
Hollywood,1675,46,Crimson maple,15,4.5,66,
Edgewater,1631,70,honey locust ,22,3,67,
Hollywood,1677,70,Crimson maple,22,3,67,
Ravenswood,5616,42,white ash,13,5,67,
Bryn Mawr,1625,72,field elm,69,3,69,
Edgewater,1656,72,honey locust ,23,3,69,116
Edgewater,1624,48,Norway maple ,15,4.5,69,96
Ashland,5646,73,Silver maple,23,3,70,
Thorndale,"On RR embankment, end of street",112,Eastern cottonwood,36,2,71,
Edgewater,1627,76,honey locust ,24,3,73,
Hollywood,1635,51,Norway maple ,16,4.5,73,
Ravenswood,5717,51,Norway maple ,16,4.5,73,
Rosehill,1615 W. Rosehill,52,Norway maple,17,4.5,75,
Ravenswood,5614,48,white ash,15,5,76,
Ravenswood,5925 (opposite),120,Eastern cottonwood,38,2,76,
Rosehill,1715 W. Rosehill (opposite),80,Linden,25,3,76,
Edgewater,1635,81,honey locust ,26,3,77,
Rosehill,1711 W. Rosehill (opposite),81,Silver maple,26,3,77,
Peterson,5990 Peterson,82,Silver maple,26,3,78,
Ravenswood,5618,49,white ash,16,5,78,
Ravenswood,5801,56,,18,4.5,80,
Bryn Mawr,1636,73,river birch,81,3.5,81,
Edgewater,1618,85,silver maple ,27,3,81,
Bryn Mawr,1740,86,silver maple,82,3,82,
Edgewater,1614,57,honey locust ,18,4.5,82,
Rosehill,1612 W. Rosehill,86,Honey locust,27,3,82,
Edgewater,1661,59,Norway maple ,19,4.5,85,
Edgewater,1617,59,Norway maple ,19,4.5,85,
Bryn Mawr,1721,90,silver maple,86,3,86,
Edgewater,1620,60,Norway maple ,19,4.5,86,
Hermitage,5636,60,Norway mable,19,4.5,86,
Paulina,5940,60,Norway maple,19,4.5,86,
Thorndale,1735,60,Norway maple,19,4.5,86,
Thorndale,1721,60,Norway maple,19,4.5,86,
Hollywood,1667,61,honey locust ,19,4.5,87,
Rosehill,1728 W. Rosehill,91,Linden,29,3,87,
Edgewater,1638,62,silver maple ,20,4.5,89,
Hollywood,1651,62,Norway maple ,20,4.5,89,
Hermitage,5651,63,Crimson maple,20,4.5,90,
Hollywood,1675,63,Norway maple ,20,4.5,90,
Paulina,5934,63,Norway maple,20,4.5,90,
Ravenswood,5715,63,Norway maple ,20,4.5,90,
Ravenswood,5618,57,white ash,18,5,91,
Paulina,5942,64,Norway maple,20,4.5,92,
Rosehill,1715 W. Rosehill (opposite),125,Mulberry,40,2.3,92,
Thorndale,1748 W. Rosehill,64,Norway maple,20,4.5,92,
Thorndale,1772 W. Thorndale,64,Norway maple,20,4.5,92,
Thorndale,1734,64,Norway maple,20,4.5,92,
Bryn Mawr,1736,65,Norway maple,93,4.5,93,
Edgewater,1642,65,silver maple ,21,4.5,93,
Hermitage,5640,65,Norway mable,21,4.5,93,
Rosehill,1799 W. Rosehill,65,Norway maple,21,4.5,93,
Rosehill,1653 W. Rosehill (opposite),98,Linden,31,3,94,
Rosehill,1653 W. Rosehill,66,Norway maple,21,4.5,95,
Thorndale,(opposite) 1766,66,Norway maple,21,4.5,95,
Hollywood,1663,67,Norway maple ,21,4.5,96,
Rosehill,1625 W. Rosehill,67,Norway maple,21,4.5,96,
Rosehill,1732 W. Rosehill,67,Norway maple,21,4.5,96,
Thorndale,1723,67,Norway maple,21,4.5,96,
Edgewater,1644,68,silver maple ,22,4.5,97,
Thorndale,(opposite) 1764,68,Norway maple,22,4.5,97,
Thorndale,1636,102,Silver maple,32,3,97,
Edgewater,1632,103,silver maple ,33,3,98,
Bryn Mawr,1665,62,ash,99,5,99,
Thorndale,(opposite) 1772,70,Norway maple,22,4.5,100,
Thorndale,1634,105,Silver maple,33,3,100,
Hermitage,5637,71,Norway mable,23,4.5,102,
Paulina,1614,71,Norway maple,23,4.5,102,
Rosehill,1705 W. Rosehill,71,Norway maple,23,4.5,102,
Hermitage,5638,72,Norway mable,23,4.5,103,
Ravenswood,5630,108,silver maple ,34,3,103,
Rosehill,1719 W. Rosehill,72,Norway maple,23,4.5,103,
Thorndale,(opposite) 1746,72,Norway maple,23,4.5,103,
Hollywood,1653,73,Norway maple ,23,4.5,105,
Rosehill,1611 W. Rosehill,73,Norway maple,23,4.5,105,
Rosehill,1627 W. Rosehill,110,Silver maple,35,3,105,
Thorndale,NW corner w/ Hermitage,74,Norway maple,24,4.5,106,
Rosehill,1709 W. Rosehill (opposite),114,Silver maple,36,3,109,
Thorndale,1717,77,Norway maple,25,4.5,110,
Hollywood,1679,78,Crimson maple,25,4.5,112,
Paulina,5924,79,Norway maple,25,4.5,113,
Bryn Mawr,1667,72,ash,115,5,115,
Edgewater,1626,120,silver maple ,38,3,115,
Hollywood,1665,81,Norway maple ,26,4.5,116,
Thorndale,1730,81,Norway maple,26,4.5,116,
Paulina,5822,82,Norway maple,26,4.5,118,
Ravenswood,5798,75,white ash,24,5,119,
Thorndale,(opposite) 1754,84,Norway maple,27,4.5,120,
Thorndale,1627,85,Norway maple,27,4.5,122,
Hermitage,5610,86,Norway mable,27,4.5,123,
Thorndale,1760,140,Chinese elm,45,3,134,
Bryn Mawr,1675,85,ash,135,5,135,
Thorndale,1718,96,Norway maple,31,4.5,138,
Hermitage,1674,97,silver maple ,31,4.5,139,
Rosehill,5726,152,Silver maple,48,3,145,
Thorndale,1721 (rear yard),130,Black locust,41,3.5,145,
Edgewater,1664,160,box elder,51,3.25,166,
Hermitage,5830,120,Norway maple,38,4.5,172,
