ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
5200,N,WINTHROP,,,81,HONEY LOCUST,25.80,3,77.38853503, 
5206,N,WINTHROP,,,85,HONEY LOCUST,27.07,3,81.21019108, 
5206,N,WINTHROP,,,111,HONEY LOCUST,35.35,3,106.05, 
5207,N,WINTHROP,,,63,SILVER MAPLE,20.06,3,60.19, 
5217,N,WINTHROP,,,93,HONEY LOCUST,29.62,3,88.85, 
5223,N,WINTHROP,,,80,HONEY LOCUST,25.48,3,76.43, 
5224,N,WINTHROP,,,64,HONEY LOCUST,20.38,3,61.15, 
5227,N,WINTHROP,,,81,HONEY LOCUST,25.80,3,77.39, 
5228,N,WINTHROP,,,75,HONEY LOCUST,23.89,3,71.66, 
5235,N,WINTHROP,,,69,HONEY LOCUST,21.97,3,65.92, 
5235,N,WINTHROP,,,66,HONEY LOCUST,21.02,3,63.06, 
5240,N,WINTHROP,,,80,HONEY LOCUST,25.48,3,76.43, 
5248,N,WINTHROP,,,90,HONEY LOCUST,28.66,3,85.99, 
5309,N,WINTHROP,,,67,HONEY LOCUST,21.34,3,64.01, 
5321,N,WINTHROP,,,89,HONEY LOCUST,28.34,3,85.03, 
5330,N,WINTHROP,,,85,HONEY LOCUST,27.07,3,81.21, 
5327,N,WINTHROP,,,97,HONEY LOCUST,30.89,3,92.68, 
5331,N,WINTHROP,,,72,HONEY LOCUST,22.93,3,68.79, 
5339,N,WINTHROP,,,60,HONEY LOCUST,19.11,3,57.32, 
5346,N,WINTHROP,,,97,HONEY LOCUST,30.89,3,92.68, 
5346,N,WINTHROP,,,75,HONEY LOCUST,23.89,3,71.66, 
5349,N,WINTHROP,,,63,HONEY LOCUST,20.06,3,60.19, 
5352,N,WINTHROP,,,90,HONEY LOCUST,28.66,3,85.99, 
5404,N,WINTHROP,,,85,HONEY LOCUST,27.07,3,81.21, 
5411,N,WINTHROP,,,69,HONEY LOCUST,21.97,3,65.92, 
5411,N,WINTHROP,,,69,HONEY LOCUST,21.97,3,65.92, 
5422,N,WINTHROP,,,96,HONEY LOCUST,30.57,3,91.72, 
5423,N,WINTHROP,,,69,HONEY LOCUST,21.97,3,65.92, 
5428,N,WINTHROP,,,104,SIBERIAN ELM,33.12,2,66.24, 
5428,N,WINTHROP,,,63,2,20.06,4,80.25, 
5443,N,WINTHROP,,,82,AMERICAN ELM,26.11,4,104.46, 
5444,N,WINTHROP,,,74,HONEY LOCUST,23.57,3,70.70, 
5449,N,WINTHROP,,,72,HONEY LOCUST,22.93,3,68.79, 
5515,N,WINTHROP,,,61,HONEY LOCUST,19.43,3,58.28, 
5515,N,WINTHROP,,,82,AMERICAN ELM,26.11,4,104.46, 
5515,N,WINTHROP,,,69,AMERICAN ELM,21.97,4,87.90, 
5517,N,WINTHROP,,,69,AMERICAN ELM,21.97,4,87.90, 
5517,N,WINTHROP,,,82,AMERICAN ELM,26.11,4,104.46, 
5539,N,WINTHROP,,,83,HONEY LOCUST,26.43,3,79.30, 
5620,N,WINTHROP,,,97,HACKENBERRY,30.89,2,61.78, 
5624,N,WINTHROP,,,80,HACKENBERRY,25.48,2,50.96, 
5626,N,WINTHROP,,,73,HACKENBERRY,23.25,2,46.50, 
5630,N,WINTHROP,,,74,HACKENBERRY,23.57,2,47.13, 
5636,N,WINTHROP,,,67,HACKENBERRY,21.34,2,42.68, 
5638,N,WINTHROP,,,72,HACKENBERRY,22.93,2,45.86, 
5644,N,WINTHROP,,,80,HACKENBERRY,25.48,2,50.96, 
5648,N,WINTHROP,,,64,HACKENBERRY,20.38,2,40.76, 
5648,N,WINTHROP,,,65,HACKENBERRY,20.70,2,41.40, 
5650,N,WINTHROP,,,80,HACKENBERRY,25.48,2,50.96, 
5653,N,WINTHROP,,,88,HACKENBERRY,28.03,2,56.05, 
5653,N,WINTHROP,,,85,HACKENBERRY,27.07,2,54.14, 
5653,N,WINTHROP,,,97,HACKENBERRY,30.89,2,61.78, 
5653,N,WINTHROP,,,86,HACKENBERRY,27.39,2,54.78, 
1013,W,BALMORAL,,,90,HONEY LOCUST,28.66242038,3,85.94, 
1014,W,BALMORAL,,,64,HONEY LOCUST,20.38216561,3,61.12, 
1014,W,BALMORAL,,,62,HONEY LOCUST,19.74522293,3,59.21, 
1016,W,BALMORAL,,,72,HONEY LOCUST,22.92993631,3,68.75, 
1016,W,BALMORAL,,,70,HONEY LOCUST,22.29299363,3,66.85, 
1019,W,BALMORAL,,,76,HONEY LOCUST,24.20382166,3,72.57, 
1023,W,BALMORAL,,,75,HONEY LOCUST,23.88535032,3,71.62, 
1029,W,BALMORAL,,,72,HONEY LOCUST,22.92993631,3,68.75, 
1057,W,BALMORAL,,,67,HONEY LOCUST,21.33757962,3,63.98, 
1059,W,BALMORAL,,,70,HONEY LOCUST,22.29299363,3,66.85, 
1106,W,BALMORAL,,,74,AMERICAN ELM,23.56687898,4,94.22, 
1014,W,BERWYN,,,69,HONEY LOCUST,21.9634,3,65.89015, 
1016,W,BERWYN,,,83,HONEY LOCUST,26.4197,3,79.25916, 
1017,W,BERWYN,,,62,NORWAY MAPLE,19.7352,4.5,88.80846, 
1023,W,BERWYN,,,98,HONEY LOCUST,31.1944,3,93.58311, 
1038,W,BERWYN,,,70,SILVER MAPLE,22.2817,3,66.84508, 
1044,W,BERWYN,,,93,HONEY LOCUST,29.6028,3,88.80846, 
1044,W,BERWYN,,,100,HONEY LOCUST,31.831,3,95.49297, 
1050,W,BERWYN,,,88,HONEY LOCUST,28.0113,3,84.03381, 
1056,W,BERWYN,,,85,HONEY LOCUST,27.0563,3,81.16902, 
1057,W,BERWYN,,,66,HONEY LOCUST,21.0085,3,63.02536, 
5200,N,KENMORE,,,71,HONEY LOCUST,22.6,3,67.8, 
5202,N,KENMORE,,,60,NORWAY MAPLE,19.1,4.5,85.94, 
5218,N,KENMORE,,,73,HONEY LOCUST,23.24,3,69.71, 
5220,N,KENMORE,,,71,HONEY LOCUST,22.6,3,67.8, 
5229,N,KENMORE,,,66,NORWAY MAPLE,21.01,4.5,94.54, 
5240,N,KENMORE,,,80,HONEY LOCUST,25.46,3,76.39, 
5312,N,KENMORE,,,62,HONEY LOCUST,19.74,3,59.21, 
5312,N,KENMORE,,,77,SILVER MAPLE,24.51,3,73.53, 
5330,N,KENMORE,,,65,HONEY LOCUST,20.69,3,62.07, 
5330,N,KENMORE,,,65,HONEY LOCUST,20.69,3,62.07, 
5340,N,KENMORE,,,75,HONEY LOCUST,23.87,3,71.62, 
5350,N,KENMORE,,,82,HONEY LOCUST,26.1,3,78.3, 
