ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
1214,W,GRANVILLE,,,82.5,NORWAY MAPLE,26,4.5,117, 
1218,W,GRANVILLE,,,57.5,AMERICAN SYCAMORE,18,4,72, 
1218,W,GRANVILLE,,,107,NORWAY MAPLE,34,4.5,153, 
1221,W,GRANVILLE,,,82,NORWAY MAPLE,26,4.5,117, 
1231,W,GRANVILLE,,,45,BLACK LOCUST,14,3.5,49, 
1234,W,GRANVILLE,,,120,BLACK OAK,38,2,76, 
1236,W,GRANVILLE,,,63,NORWAY MAPLE,20,4.5,90, 
1248,W,GRANVILLE,,,73,SILVER MAPLE,23,3,69, 
1256,W,GRANVILLE,,,137,BLACK LOCUST,44,3.5,154, 
1306,W,GRANVILLE,,,73,NORWAY MAPLE,23,4.5,104, 
1310,W,GRANVILLE,,,94,NORWAY MAPLE,30,4.5,135, 
1316,W,GRANVILLE,,,113,AMERICAN ELM,36,4,144, 
1316,W,GRANVILLE,,,73,AMERICAN SYCAMORE,23,4,92, 
1335,W,GRANVILLE,,,92,BLACK LOCUST,29,3.5,102, 
1336,W,GRANVILLE,,,83,BLACK LOCUST,26,3.5,91, 
1340,W,GRANVILLE,,,86,NORWAY MAPLE,27,4.5,122, 
1341,W,GRANVILLE,,,88,AMERICAN SYCAMORE,28,4,112, 
1343,W,GRANVILLE,,,101,NORWAY MAPLE,32,4.5,144, 
1351,W,GRANVILLE,,,96,NORTH CATALPA,31,2,62, 
1352,W,GRANVILLE,,,85,AMERICAN LINDEN,27,3,81, 
1413,W,GRANVILLE,,,87,SILVER MAPLE,28,3,84, 
1419,W,GRANVILLE,,,94,AMERICAN SYCAMORE,30,4,120, 
1420,W,GRANVILLE,,,72,NORWAY MAPLE,23,4.5,104, 
1433,W,GRANVILLE,,,84,AMERICAN SYCAMORE,27,4,108, 
1436,W,GRANVILLE,,,59,NORWAY MAPLE,19,4.5,86, 
1443,W,GRANVILLE,,,103,AMERICAN SYCAMORE,33,4,132, 
1443,W,GRANVILLE,,,98,SILVER MAPLE,31,3,93, 
1444,W,GRANVILLE,,,63,NORWAY MAPLE,20,4.5,90, 
1451,W,GRANVILLE,,,87,BLACK LOCUST,28,3.5,98, 
1456,W,GRANVILLE,,,87,SILVER MAPLE,28,3,84, 
1456,W,GRANVILLE,,,84,SILVER MAPLE,27,3,81, 
1505,W,GRANVILLE,,,72,BLACK LOCUST,23,3.5,81, 
1507,W,GRANVILLE,,,70,BLACK LOCUST,22,3.5,77, 
1517,W,GRANVILLE,,,91,BLACK LOCUST,29,3.5,102, 
1541,W,GRANVILLE,,,65,HONEY LOCUST,21,3,63, 
1218,W,HOOD,,,74,NORWAY MAPLE,24,4.5,108, 
1227,W,HOOD,,,76,SILVER MAPLE,24,3,72, 
1230,W,HOOD,,,80,AMERICAN LINDEN,25,3,75, 
1234,W,HOOD,,,84,WHITE ASH,27,5,135, 
1239,W,HOOD,,,80,AMERICAN SYCAMORE,25,4,100, 
1249,W,HOOD,,,77,AMERICAN SYCAMORE,25,4,100, 
1250,W,HOOD,,,85,AMERICAN SYCAMORE,27,4,108, 
1265,W,HOOD,,,148,EASTERN COTTONWOOD,47,2,94, 
1267,W,HOOD,,,93,SILVER MAPLE,30,3,90, 
1301,W,HOOD,,,58,AMERICAN SYCAMORE,18,4,72, 
1322,W,HOOD,,,75,SILVER MAPLE,24,3,72, 
1325,W,HOOD,,,102,AMERICAN SYCAMORE,32,4,128, 
1336,W,HOOD,,,95,SILVER MAPLE,30,3,90, 
1343,W,HOOD,,,74,BLACK LOCUST,24,3.5,84, 
1347,W,HOOD,,,97,SILVER MAPLE,31,3,93, 
1347,W,HOOD,,,92,SILVER MAPLE,29,3,87, 
1350,W,HOOD,,,75,AMERICAN SYCAMORE,24,4,96, 
1415,W,HOOD,,,84,BLACK LOCUST,27,3.5,95, 
1421,W,HOOD,,,72,SILVER MAPLE,23,3,69, 
1424,W,HOOD,,,144,SILVER MAPLE,46,3,138, 
1442,W,HOOD,,,118,SILVER MAPLE,38,3,114, 
1446,W,HOOD,,,108,BLACK LOCUST,34,3.5,119, 
1454,W,HOOD,,,83,NORWAY MAPLE,26,4.5,117, 
1458,W,HOOD,,,121,MULBERRY,39,2.3,90, 
1500,W,HOOD,,,83,AMERICAN SYCAMORE,26,4,104, 
1501,W,HOOD,,,80,NORWAY MAPLE,25,4.5,113, 
1505,W,HOOD,,,72,AMERICAN SYCAMORE,23,4,92, 
1506,W,HOOD,,,90,BLACK LOCUST,29,3.5,102, 
1507,W,HOOD,,,91,AMERICAN SYCAMORE,29,4,116, 
1518,W,HOOD,,,100,BLACK LOCUST,32,3.5,112, 
1525,W,HOOD,,,88,AMERICAN SYCAMORE,28,4,112, 
1528,W,HOOD,,,98,WHITE ASH,31,5,155, 
1529,W,HOOD,,,102,AMERICAN SYCAMORE,32,4,128, 
1535,W,HOOD,,,92,NORWAY MAPLE,29,4.5,131, 
1219,W,GLENLAKE,,,78,NORWAY MAPLE,25,4.5,113, 
1224,W,GLENLAKE,,,81,BLACK LOCUST,26,3.5,91, 
1234,W,GLENLAKE,,,104,AMERICAN SYCAMORE,33,4,132, 
1249,W,GLENLAKE,,,74,AMERICAN ELM,24,4,96, 
1261,W,GLENLAKE,,,110,SILVER MAPLE,35,3,105, 
1265,W,GLENLAKE,,,72,AMERICAN ELM,23,4,92, 
1265,W,GLENLAKE,,,72,AMERICAN SYCAMORE,23,4,92, 
1309,W,GLENLAKE,,,102,SILVER MAPLE,32,3,96, 
1318,W,GLENLAKE,,,96,BLACK LOCUST,31,3.5,109, 
1324,W,GLENLAKE,,,105,AMERICAN SYCAMORE,33,4,132, 
