ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE
0000,W,INVALID,,, -87.667095",65,American Elm,21,4,"41.988135
1421,W,(OPPOSITE),,,107,SILVER MAPLE,34,3,102,Senn HS (west of alley)
1421,W,(OPPOSITE),,,86,SILVER MAPLE,27,3,81,Senn HS (east of alley)
1411,W,ARDMORE,,,83,SILVER MAPLE,26,3,78, 
1421,W,ARDMORE,,,82,HONEY LOCUST,26,3,78, 
1429,W,ARDMORE,,,108,AMERICAN ELM,34,4,136, 
1321,W,ARDMORE,,,60,AMERICAN LINDEN,19,3,57, 
1319,W,ARDMORE,,,96,SILVER MAPLE,31,3,93, 
1309,W,ARDMORE,,,66,SILVER MAPLE,21,3,63, 
1263,W,ARDMORE,,,69,WHITE ASH,22,5,110, 
1249,W,ARDMORE,,,80,SILVER MAPLE,25,3,75,"Subtracted 12"" to compensate for dbl trunk."
1254,W,ARDMORE,,,88,NORTHERN CATALPA,28,2,56, 
1258,W,ARDMORE,,,97,SILVER MAPLE,31,3,93, 
1264,W,ARDMORE,,,106,SILVER MAPLE,34,3,102, 
1276,W,ARDMORE,,,87,WHITE ASH,28,5,140, 
1280,W,ARDMORE,,,84,SILVER MAPLE,27,3,81, 
1300,W,ARDMORE,,,108,SILVER MAPLE,34,3,102, 
1308,W,ARDMORE,,,140,SILVER MAPLE,45,3,135,multi trunk
5734,N,BROADWAY,,,54,WHITE ASH,17,5,85, 
5820,N,BROADWAY,,,53,SUGAR MAPLE,17,5.5,93.5,audit to come
5850,N,BROADWAY,,,47,SUGAR MAPLE,15,5.5,82.5,audit to come
0000,W,INVALID,,, -87.660238",52,White ash,17,5.5,"41.984238
1301,W,EARLY,,,78,HONEY LOCUST,25,3,75, 
1305,W,EARLY,,,125,SILVER MAPLE,40,3,120, 
1309,W,EARLY,,,62,HONEY LOCUST,20,3,60, 
1312,W,EARLY,,,45,WHITE ASH,14,5,70, 
1314,W,EARLY,,,74,WHITE ASH,24,5,120, 
1313,W,EARLY,,,92,SILVER MAPLE,29,3,87, 
1317,W,EARLY,,,80,SILVER MAPLE,25,3,75,east parkway tree
1317,W,EARLY,,,78,SILVER MAPLE,25,3,75,west parkway tree
1325,W,EARLY,,,97,SILVER MAPLE,31,3,93,east parkway tree
1325,W,EARLY,,,67,SILVER MAPLE,21,3,63,west parkway tree
1327,W,EARLY,,,80,HONEY LOCUST,25,3,75, 
1334,W,EARLY,,,69,NORWAY MAPLE,22,4.5,99, 
1335,W,EARLY,,,67,NORWAY MAPLE,21,4.5,94.5, 
1341,W,EARLY,,,90,SILVER MAPLE,29,3,87, 
1342,W,EARLY,,,82,HONEY LOCUST,26,3,78, 
1345,W,EARLY,,,109,SILVER MAPLE,35,3,105, 
1350,W,EARLY,,,88,SILVER MAPLE,28,3,84,east parkway tree
1350,W,EARLY,,,96,SILVER MAPLE,31,3,93,west parkway tree
1290,W,EARLY,,,77,WHITE ASH,25,5,125, 
1288,W,EARLY,,,70,HONEY LOCUST,22,3,66, 
1281,W,EARLY,,,72,SILVER MAPLE,23,3,69, 
1279,W,EARLY,,,84,SILVER MAPLE,27,3,81, 
1276,W,EARLY,,,118,SILVER MAPLE,38,3,114, 
1275,W,EARLY,,,90,SILVER MAPLE,29,3,87, 
1272,W,EARLY,,,82,SILVER MAPLE,26,3,78, 
1264,W,EARLY,,,92,HONEY LOCUST,29,3,87, 
1269,W,EARLY,,,86,HONEY LOCUST,27,3,81, 
1261,W,EARLY,,,86,HONEY LOCUST,27,3,81, 
1258,W,EARLY,,,94,LINDEN,30,3,90, 
1256,W,EARLY,,,81,SILVER MAPLE,26,3,78, 
1252,W,EARLY,,,75,HONEY LOCUST,24,3,72, 
1248,W,EARLY,,,117,SILVER MAPLE,37,3,111, 
1245,W,EARLY,,,88,SILVER MAPLE,28,3,84, 
1239,W,EARLY,,,69,HONEY LOCUST,22,3,66, 
1214,W,EARLY,,,70,HONEY LOCUST,22,3,66, 
1214,W,EARLY,,,56,WHITE ASH,18,5,90, 
5825,N,GLENWOOD,,,75,NORTHERN CATALPA,24,2,48, 
5814,N,GLENWOOD,,,90,HONEY LOCUST,29,3,87, 
5830,N,GLENWOOD,,,92,HONEY LOCUST,29,3,87, 
5840,N,GLENWOOD,,,67,AMERICAN ELM,21,4,84, 
0000,W,INVALID,,,46,WHITE OAK,15,5,75,NW corner Hollywood & Ridge
0000,W,INVALID,,,69,WHITE OAK,22,5,110,next to dying oak
0000,W,INVALID,,,70,WHITE OAK,22,5,110,dying tree behind welcome sign
0000,W,INVALID,,,44,FIELD MAPLE,14,4,56,next tree east
5843,N,MAGNOLIA,,,112,TREE OF HEAVEN,36,2,72, 
5835,N,MAGNOLIA,,,102,SILVER MAPLE,32,3,96, 
5827,N,MAGNOLIA,,,55,NORWAY MAPLE,18,4.5,81, 
5823,N,MAGNOLIA,,,48,NORWAY MAPLE,15,4.5,67.5, 
5815,N,MAGNOLIA,,,93,SILVER MAPLE,30,3,90, 
5811,N,MAGNOLIA,,,46,NORWAY MAPLE,15,4.5,67.5, 
5805,N,MAGNOLIA,,,113,SILVER MAPLE,36,3,108, 
5735,N,MAGNOLIA,,,99,SILVER MAPLE,32,3,96,west sidewalk adjacent to 1223 Victoria
5729,N,MAGNOLIA,,,80,SILVER MAPLE,25,3,75, 
5713,N,MAGNOLIA,,,76,SILVER MAPLE,24,3,72, 
5709,N,MAGNOLIA,,,75,SILVER MAPLE,24,3,72, 
5705,N,,,,83,SILVER MAPLE,26,3,78, 
5649,N,MAGNOLIA,,,49,NORWAY MAPLE,16,4.5,72, 
5643,N,MAGNOLIA,,,43,WHITE ASH,14,5,70, 
5830,N,MAGNOLIA,,,85,HONEY LOCUST,27,3,81, 
5862,N,MAGNOLIA,,,57,NORWAY MAPLE,18,4,72, 
