ADDR_NUM,ADDR_DIR,ADDR_NAME,TRACT,BLOCK,CIRCUMFERENCE,SPECIES,DIAMETER,GRF,AGE,NOTE,
BROKEN! NEEDS FIXING: 0,X,INVALID,305,2008,65,AMERICAN ELM,21,4,84,"41.988135, -87.667095",
1421,W,ARDMORE,305,2008,107,SILVER MAPLE,34,3,102,SENN HS (WEST OF ALLEY),
1421,W,ARDMORE,305,2008,86,SILVER MAPLE,27,3,81,SENN HS (EAST OF ALLEY),
1411,W,ARDMORE,305,2008,83,SILVER MAPLE,26,3,78,,
1421,W,ARDMORE,305,2008,82,HONEY LOCUST,26,3,78,,
1429,W,ARDMORE,305,2008,108,AMERICAN ELM,34,4,136,,
1321,W,ARDMORE,305,3003,60,AMERICAN LINDEN,19,3,57,,
1319,W,ARDMORE,305,3003,96,SILVER MAPLE,31,3,93,,
1309,W,ARDMORE,305,3002,66,SILVER MAPLE,21,3,63,,
1263,W,ARDMORE,305,3001,69,WHITE ASH,22,5,110,,
1249,W,ARDMORE,305,3001,80,SILVER MAPLE,25,3,75,SUBTRACTED 12 TO COMPENSATE FOR DBL TRUNK.,
1254,W,ARDMORE,305,1012,88,NORTHERN CATALPA,28,2,56,,
1258,W,ARDMORE,305,1012,97,SILVER MAPLE,31,3,93,,
1264,W,ARDMORE,305,1012,106,SILVER MAPLE,34,3,102,,
1276,W,ARDMORE,305,1012,87,WHITE ASH,28,5,140,,
1280,W,ARDMORE,305,1012,84,SILVER MAPLE,27,3,81,,
1300,W,ARDMORE,305,1012,108,SILVER MAPLE,34,3,102,,
1308,W,ARDMORE,305,1012,140,SILVER MAPLE,45,3,135,MULTI TRUNK,
5734,N,BROADWAY,305,3011,54,WHITE ASH,17,5,85,,
5820,N,BROADWAY,305,1008,53,SUGAR MAPLE,17,5.5,94,AUDIT TO COME,
5850,N,BROADWAY,305,1008,47,SUGAR MAPLE,15,5.5,83,AUDIT TO COME,
BROKEN! NEEDS FIXING: 0,W,INVALID,305,1008,52,WHITE ASH,17,5.5,94,"41.984238, -87.660238",
1301,W,EARLY,305,3004,78,HONEY LOCUST,25,3,75,,
1305,W,EARLY,305,3004,125,SILVER MAPLE,40,3,120,,
1309,W,EARLY,305,3004,62,HONEY LOCUST,20,3,60,,
1312,W,EARLY,305,3002,45,WHITE ASH,14,5,70,,
1314,W,EARLY,305,3002,74,WHITE ASH,24,5,120,,
1313,W,EARLY,305,3004,92,SILVER MAPLE,29,3,87,,
1317,W,EARLY,305,3004,80,SILVER MAPLE,25,3,75,EAST PARKWAY TREE,
1317,W,EARLY,305,3004,78,SILVER MAPLE,25,3,75,WEST PARKWAY TREE,
1325,W,EARLY,305,3004,97,SILVER MAPLE,31,3,93,EAST PARKWAY TREE,
1325,W,EARLY,305,3004,67,SILVER MAPLE,21,3,63,WEST PARKWAY TREE,
1327,W,EARLY,305,3004,80,HONEY LOCUST,25,3,75,,
1334,W,EARLY,305,3003,69,NORWAY MAPLE,22,4.5,99,,
1335,W,EARLY,305,3004,67,NORWAY MAPLE,21,4.5,95,,
1341,W,EARLY,305,3004,90,SILVER MAPLE,29,3,87,,
1342,W,EARLY,305,3003,82,HONEY LOCUST,26,3,78,,
1345,W,EARLY,305,3004,109,SILVER MAPLE,35,3,105,,
1350,W,EARLY,305,3003,88,SILVER MAPLE,28,3,84,EAST PARKWAY TREE,
1350,W,EARLY,305,3003,96,SILVER MAPLE,31,3,93,WEST PARKWAY TREE,
1290,W,EARLY,305,3009,77,WHITE ASH,25,5,125,,
1288,W,EARLY,305,3009,70,HONEY LOCUST,22,3,66,,
1281,W,EARLY,305,3008,72,SILVER MAPLE,23,3,69,,
