TOTAL COMPLETE:1745
SILVER MAPLE:283
HONEY LOCUST:409
AMERICAN ELM:49
AMERICAN LINDEN:4
WHITE ASH:69
NORTHERN CATALPA:3
SUGAR MAPLE:5
NORWAY MAPLE:236
LINDEN:21
TREE OF HEN:1
MULBERRY:4
HORSE CHESTNUT:2
AMERICAN ELM?:1
SLIVER MAPLE:7
GR OR WHITE ASH:1
ASH:22
NORWAY MAPLE?:2
GREEN ASH:34
RED MAPLE:21
BURR OAK:2
COMMON HACKBERRY:3
SILVER ELM:1
SIVER MAPLE:2
SIBERIAN ELM:17
MISSING:1
HACKENBERRY:20
HACKBERRY:3
AMERICAN SYCAMORE:41
BLACK LOCUST:30
BLACK OAK:1
NORTH CATALPA:1
EASTERN COTTONWOOD:2
BLACK MAPLE:2
SYCAMORE:14
AMER SYC:61
NOR MAPLE:71
SILV MAPLE:49
HON LOCUST:23
SIB ELM:12
AMER ELM:9
LIT LINDEN:3
SUG MAPLE:1
RIV BIRCH:1
NO CATALPA:3
BRAD PEAR:2
LIT LF LINDEN:2
WHT ASH:5
RIVER BIRCH:2
CATALPA:28
E COTTONWOOD:1
AMER LIND:2
GR ASH:2
DEAD TREE:1
HON LOUCST:1
BLK MAPLE:1
AMER BASS:4
SIB ELAM:1
WHITE MULBERRY:1
OAK:3
LARGE LEAF LINDEN:1
WHITE OAK:2
LITTLE LEAF LINDEN:1
BLACK WALNUT:1
AMERICAN BASSWOOD:1
MAPLE:24
CHINESE ELM:2
ELM:7
N. HACKBERRY:1
HONEY LOCUT:10
BRADFORD PEAR:1
ASH :1
NORTHERN MAPLE:3
NORWAY 0R RED MAPLE:1
ENGLISH ELM:2
HONEST LOCUST:1
BASSWOOD:4
LOCUST:8
AMERICAN OR SLIPPERY ELM:2
CRABAPPLE:2
BLUE SPRUCE:1
HORSE CHESTNUST/BUCKEYE:1
RED PINE:1
COTTONWOOD:5
KY COFFEETREE:4
BASSWOOD/LINDEN:1
REDBUD:1
NORWAY MAPLE :21
CATAPULT :1
SILVER MAPLE :9
SYCAMORE :1
LOCUST :1
HONEY LOCUSTS :1
HONEY LOCUST :8
CRIMSON MAPLE:4
FIELD ELM:1
NORWAY MABLE:5
BOX ELDER:1

